_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 17:45:00 UTC 2017	987.0	1.163350016E9	1.7936122E7	69.0	2.5284608E7	247699.75	124.0	1.16424704E9	40476.6796875	178.0	165.0	1.080557568E9	1.09262848E9	3482582.5	0.1237500011920929	0.2214999943971634	0.23524999618530273	0.33274999260902405	0.8043527603149414	492.0	32154.0	31932.0	959.0	877.0	0.0	0.0	0.0	0.0	3.20573519E8	3.04291548E8	8.4220614E7	7.3502819E7	7.0585498E7	7.1502863E7	null	1.09985734E8	null	6.0266149E7	null	6.0266149E7	7197704.0	6764725.0	
Fri May 12 17:44:00 UTC 2017	932.0	1.164361728E9	1.7936122E7	71.0	2.4403968E7	247699.75	122.0	1.163907072E9	39185.27734375	172.0	161.0	1.07741184E9	1.09012992E9	3482582.5	0.1002499982714653	0.21299999952316284	0.22374999523162842	0.34850001335144043	0.8061914443969727	492.0	30438.0	30229.0	746.0	669.0	0.0	0.0	0.0	0.0	2.40037663E8	2.80536899E8	5.9200808E7	6.2285401E7	6.385678E7	6.5558029E7	null	1.03205853E8	null	5.3883837E7	null	5.3883837E7	5185836.0	6403731.0	
Fri May 12 17:43:00 UTC 2017	960.0	1.163677696E9	1.7936122E7	72.0	2.5378816E7	247699.75	123.0	1.163157504E9	39185.27734375	173.0	168.0	1.07853824E9	1.089695744E9	3482582.5	0.10999999940395355	0.21525000035762787	0.22975000739097595	0.35199999809265137	0.8060685992240906	425.0	28845.0	28664.0	624.0	534.0	0.0	0.0	0.0	0.0	2.93385357E8	3.00278497E8	6.6066936E7	6.5823268E7	6.5986412E7	6.7317558E7	null	1.09653855E8	null	5.7632204E7	null	5.7632204E7	6220192.0	6603166.0	
Fri May 12 17:42:00 UTC 2017	963.0	1.163689984E9	1.740938E7	70.0	2.2892544E7	247699.75	123.0	1.16271104E9	39341.59765625	165.0	162.0	1.079369728E9	1.090727936E9	3276569.25	0.09950000047683716	0.2199999988079071	0.22325000166893005	0.33649998903274536	0.8036922216415405	425.0	27311.0	27126.0	481.0	404.0	0.0	0.0	0.0	0.0	2.74043461E8	3.02258011E8	6.473379E7	7.5878546E7	7.2084495E7	7.7857755E7	null	1.1202941E8	null	5.7865824E7	null	5.7865824E7	6683742.0	5729932.0	
Fri May 12 17:41:00 UTC 2017	951.0	1.16359168E9	1.6735973E7	71.0	2.4317952E7	259150.90625	127.0	1.162268672E9	39403.68359375	172.0	167.0	1.079369728E9	1.09072384E9	3321800.75	0.10400000214576721	0.21850000321865082	0.23999999463558197	0.34424999356269836	0.8055118322372437	425.0	25795.0	25583.0	335.0	271.0	0.0	0.0	0.0	0.0	2.6977319E8	2.52064747E8	5.7325361E7	6.7437427E7	5.8229905E7	6.1053561E7	null	1.07063888E8	null	5.3427551E7	null	5.3427551E7	6065186.0	4959727.0	
Fri May 12 17:40:00 UTC 2017	941.0	1.165119488E9	1.6735973E7	69.0	2.3523328E7	247999.953125	129.0	1.162227712E9	40572.39453125	168.0	169.0	1.079410688E9	1.09070336E9	3281563.25	0.10100000351667404	0.21699999272823334	0.2290000021457672	0.328000009059906	0.8033561110496521	421.0	24244.0	24018.0	212.0	199.0	0.0	0.0	0.0	0.0	2.46007661E8	2.28424019E8	5.5485097E7	5.7280724E7	5.9045966E7	6.4093048E7	null	1.03984792E8	null	5.2434918E7	null	5.2434918E7	4591150.0	4816910.0	
Fri May 12 17:39:00 UTC 2017	921.0	1.163399168E9	1.6735973E7	65.0	2.342912E7	239049.078125	126.0	1.161756672E9	33508.48046875	161.0	151.0	1.079390208E9	1.09029376E9	2469031.5	0.1042499989271164	0.20925000309944153	0.2122499942779541	0.32100000977516174	0.8030185103416443	421.0	22673.0	22442.0	134.0	116.0	0.0	0.0	0.0	0.0	1.85712189E8	1.96995498E8	5.1679139E7	5.3549438E7	5.5353761E7	5.5348676E7	null	9.5318132E7	null	3.9902536E7	null	3.9902536E7	4288115.0	4913091.0	
Fri May 12 17:38:00 UTC 2017	865.0	1.163759616E9	1.6417381E7	63.0	2.2622208E7	235735.375	123.0	1.161695232E9	33508.48046875	160.0	147.0	1.078288384E9	1.090588672E9	2469031.5	0.10649999976158142	0.2084999978542328	0.21175000071525574	0.3255000114440918	0.8027161359786987	421.0	21055.0	20839.0	91.0	70.0	0.0	0.0	0.0	0.0	1.67498853E8	1.7135696E8	4.4306963E7	5.0853017E7	4.7434283E7	4.4943718E7	null	9.056045E7	null	2.3498461E7	null	2.3498461E7	3989782.0	3500603.0	
Fri May 12 17:37:00 UTC 2017	869.0	1.163923456E9	1.4584872E7	60.0	2.1921792E7	184146.953125	128.0	1.160880128E9	33508.48046875	155.0	144.0	1.079025664E9	1.090674688E9	2469031.5	0.09650000184774399	0.2094999998807907	0.2227499932050705	0.2930000126361847	0.8025091886520386	373.0	19589.0	19367.0	52.0	39.0	0.0	0.0	0.0	0.0	1.49787426E8	1.64391577E8	4.8676544E7	4.8483876E7	4.7539342E7	4.8650516E7	null	9.3199049E7	null	2.2451226E7	null	2.2451226E7	4178902.0	3756914.0	
Fri May 12 17:36:00 UTC 2017	828.0	1.164210176E9	1.4584872E7	56.0	2.2970368E7	184146.953125	120.0	1.160896512E9	33508.48046875	137.0	134.0	1.078259712E9	1.090756608E9	2469031.5	0.09799999743700027	0.19474999606609344	0.1965000033378601	0.2930000126361847	0.8044188022613525	373.0	18129.0	17915.0	34.0	28.0	0.0	0.0	0.0	0.0	1.00987396E8	1.0854874E8	4.2192476E7	3.6131677E7	3.5977607E7	4.1059659E7	null	7.7409987E7	null	1.308454E7	null	1.308454E7	2903820.0	2857056.0	
