_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge	memusage_edge	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	responseTimePercentile_middle	responseTimePercentile_edge	
2017-04-22-13:24:00	453.0	9.98764544E8	19.0	983040.0	0.0	958464.0	0.0	0.06400000303983688	0.12425000220537186	0.952750027179718	400.0	13187.0	5145.0	0.0	0.0	null	null	
2017-04-22-13:24:00	453.0	9.98764544E8	19.0	983040.0	0.0	958464.0	0.0	0.06400000303983688	0.12425000220537186	0.952750027179718	400.0	13187.0	5145.0	0.0	0.0	null	null	
2017-04-22-13:23:00	442.0	9.9876864E8	19.0	2.5833472E7	0.0	958464.0	0.0	0.07325000315904617	0.12099999934434891	0.9517499804496765	400.0	12465.0	4325.0	0.0	0.0	null	null	
2017-04-22-13:23:00	442.0	9.9876864E8	19.0	2.5833472E7	0.0	958464.0	0.0	0.07325000315904617	0.12099999934434891	0.9517499804496765	400.0	12465.0	4325.0	0.0	0.0	null	null	
2017-04-22-13:22:00	449.0	9.97892096E8	19.0	2.5833472E7	0.0	958464.0	0.0	0.0702499970793724	0.12125000357627869	0.9522500038146973	350.0	11757.0	3640.0	0.0	0.0	null	null	
2017-04-22-13:22:00	449.0	9.97892096E8	19.0	2.5833472E7	0.0	958464.0	0.0	0.0702499970793724	0.12125000357627869	0.9522500038146973	350.0	11757.0	3640.0	0.0	0.0	null	null	
2017-04-22-13:21:00	447.0	9.986048E8	20.0	2.5776128E7	51.0	5.12978944E8	0.0	0.07275000214576721	0.12300000339746475	0.9514999985694885	350.0	11052.0	3015.0	0.0	0.0	null	null	
2017-04-22-13:21:00	447.0	9.986048E8	20.0	2.5776128E7	51.0	5.12978944E8	0.0	0.07275000214576721	0.12300000339746475	0.9514999985694885	350.0	11052.0	3015.0	0.0	0.0	null	null	
2017-04-22-13:20:00	445.0	9.9801088E8	20.0	983040.0	51.0	0.0	0.0	0.06549999862909317	0.11349999904632568	0.9520000219345093	350.0	10323.0	2415.0	0.0	0.0	null	null	
2017-04-22-13:20:00	445.0	9.9801088E8	20.0	983040.0	51.0	0.0	0.0	0.06549999862909317	0.11349999904632568	0.9520000219345093	350.0	10323.0	2415.0	0.0	0.0	null	null	
2017-04-22-13:19:00	453.0	9.97732352E8	20.0	0.0	51.0	4.83065856E8	0.0	0.07625000178813934	0.12475000321865082	0.9505000114440918	300.0	9619.0	1939.0	0.0	0.0	null	null	
2017-04-22-13:19:00	453.0	9.97732352E8	20.0	0.0	51.0	4.83065856E8	0.0	0.07625000178813934	0.12475000321865082	0.9505000114440918	300.0	9619.0	1939.0	0.0	0.0	null	null	
2017-04-22-13:18:00	450.0	9.98539264E8	20.0	2.6497024E7	51.0	4.83065856E8	0.0	0.06975000351667404	0.1120000034570694	0.9502500295639038	300.0	8908.0	1515.0	0.0	0.0	null	null	
2017-04-22-13:18:00	450.0	9.98539264E8	20.0	2.6497024E7	51.0	4.83065856E8	0.0	0.06975000351667404	0.1120000034570694	0.9502500295639038	300.0	8908.0	1515.0	0.0	0.0	null	null	
2017-04-22-13:17:00	442.0	9.98232064E8	20.0	2.6497024E7	51.0	4.83065856E8	0.0	0.07050000131130219	0.11574999988079071	0.9514999985694885	300.0	8172.0	1120.0	0.0	0.0	null	null	
2017-04-22-13:17:00	442.0	9.98232064E8	20.0	2.6497024E7	51.0	4.83065856E8	0.0	0.07050000131130219	0.11574999988079071	0.9514999985694885	300.0	8172.0	1120.0	0.0	0.0	null	null	
2017-04-22-13:16:00	452.0	9.97359616E8	0.0	2.6484736E7	51.0	4.83065856E8	0.0	0.06650000065565109	0.11050000041723251	0.9517499804496765	250.0	7474.0	835.0	0.0	0.0	null	null	
2017-04-22-13:16:00	452.0	9.97359616E8	0.0	2.6484736E7	51.0	4.83065856E8	0.0	0.06650000065565109	0.11050000041723251	0.9517499804496765	250.0	7474.0	835.0	0.0	0.0	null	null	
2017-04-22-13:15:00	446.0	9.98408192E8	0.0	0.0	51.0	4.83065856E8	0.0	0.07100000232458115	0.10975000262260437	0.952750027179718	250.0	6782.0	583.0	0.0	0.0	null	null	
2017-04-22-13:15:00	446.0	9.98408192E8	0.0	0.0	51.0	4.83065856E8	0.0	0.07100000232458115	0.10975000262260437	0.952750027179718	250.0	6782.0	583.0	0.0	0.0	null	null	
2017-04-22-13:14:00	433.0	9.97834752E8	19.0	0.0	0.0	4.784128E8	0.0	0.06849999725818634	0.10199999809265137	0.9512500166893005	250.0	6079.0	349.0	0.0	0.0	null	null	
2017-04-22-13:14:00	433.0	9.97834752E8	19.0	0.0	0.0	4.784128E8	0.0	0.06849999725818634	0.10199999809265137	0.9512500166893005	250.0	6079.0	349.0	0.0	0.0	null	null	
2017-04-22-13:13:00	434.0	9.97466112E8	19.0	2.5075712E7	0.0	958464.0	0.0	0.07400000095367432	0.10724999755620956	0.953499972820282	200.0	5423.0	214.0	0.0	0.0	null	null	
2017-04-22-13:13:00	434.0	9.97466112E8	19.0	2.5075712E7	0.0	958464.0	0.0	0.07400000095367432	0.10724999755620956	0.953499972820282	200.0	5423.0	214.0	0.0	0.0	null	null	
2017-04-22-13:12:00	430.0	9.97330944E8	16.0	2.5186304E7	null	958464.0	0.0	0.06400000303983688	0.09600000083446503	0.9557499885559082	200.0	4755.0	128.0	0.0	0.0	null	null	
2017-04-22-13:12:00	430.0	9.97330944E8	16.0	2.5186304E7	null	958464.0	0.0	0.06400000303983688	0.09600000083446503	0.9557499885559082	200.0	4755.0	128.0	0.0	0.0	null	null	
2017-04-22-13:11:00	379.0	9.9741696E8	0.0	2.4510464E7	null	0.0	0.0	0.07150000333786011	0.09875000268220901	0.9559999704360962	200.0	4063.0	65.0	0.0	0.0	null	null	
2017-04-22-13:11:00	379.0	9.9741696E8	0.0	2.4510464E7	null	0.0	0.0	0.07150000333786011	0.09875000268220901	0.9559999704360962	200.0	4063.0	65.0	0.0	0.0	null	null	
2017-04-22-13:10:00	369.0	9.98199296E8	0.0	0.0	null	0.0	0.0	0.06949999928474426	0.09674999862909317	0.9582499861717224	150.0	3475.0	34.0	0.0	0.0	null	null	
2017-04-22-13:10:00	369.0	9.98199296E8	0.0	0.0	null	0.0	0.0	0.06949999928474426	0.09674999862909317	0.9582499861717224	150.0	3475.0	34.0	0.0	0.0	null	null	
2017-04-22-13:09:00	325.0	9.9790848E8	0.0	0.0	null	0.0	0.0	0.06224999949336052	0.08624999970197678	0.9637500047683716	150.0	2923.0	15.0	0.0	0.0	null	null	
2017-04-22-13:09:00	325.0	9.9790848E8	0.0	0.0	null	0.0	0.0	0.06224999949336052	0.08624999970197678	0.9637500047683716	150.0	2923.0	15.0	0.0	0.0	null	null	
2017-04-22-13:08:00	265.0	9.97838848E8	0.0	983040.0	null	0.0	0.0	0.07374999672174454	0.07649999856948853	0.9670000076293945	150.0	2337.0	11.0	0.0	0.0	null	null	
2017-04-22-13:08:00	265.0	9.97838848E8	0.0	983040.0	null	0.0	0.0	0.07374999672174454	0.07649999856948853	0.9670000076293945	150.0	2337.0	11.0	0.0	0.0	null	null	
2017-04-22-13:07:00	236.0	9.97892096E8	0.0	983040.0	null	0.0	0.0	0.06274999678134918	0.0807500034570694	0.968500018119812	100.0	1925.0	0.0	0.0	0.0	null	null	
2017-04-22-13:07:00	236.0	9.97892096E8	0.0	983040.0	null	0.0	0.0	0.06274999678134918	0.0807500034570694	0.968500018119812	100.0	1925.0	0.0	0.0	0.0	null	null	
