_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 19:50:00 UTC 2017,176,1195544576,2206392.75,9,24625152,24325.751953125,28,860454912,6685.2587890625,21,27,1126207488,1136730112,442643.78125,,0.079750001430512,0.066500000655651,0.067749999463558,0.121500000357628,0.917825937271118,100,1212,1250,0,0,0,0,0,0,50519800,35351105,37204433,27819921,6425593,5191988,28828340,5454473,5454473,1826976,1614680
Sun Apr 30 19:49:00 UTC 2017,120,1195618304,1606123.5,9,24625152,22531.404296875,30,860336128,6233.1533203125,20,23,1126293504,1136812032,181044.453125,,0.064499996602535,0.064750000834465,0.069250002503395,0.106250002980232,0.91769140958786,100,944,942,0,0,0,0,0,0,77673711,85090967,39340064,15712439,33824975,10370302,65541075,6873033,6873033,1799279,2537853
Sun Apr 30 19:48:00 UTC 2017,112,1194250240,1606123.5,6,24625152,9703.3037109375,27,860291072,2897.76953125,17,19,1126379520,1135890432,181044.453125,,0.069250002503395,0.073250003159046,0.083750002086163,0.108249999582767,0.917231976985931,50,747,745,0,0,0,0,0,0,78111830,71704269,11882199,34217639,23916059,27957336,65926151,5832586,5832586,1467394,1609298
Sun Apr 30 19:47:00 UTC 2017,91,1194233856,779735.5,4,25747456,9703.3037109375,14,860188672,2897.76953125,10,10,1126465536,1137041408,181044.453125,,0.073499999940395,0.061000000685454,0.059000000357628,0.081249997019768,0.917014718055725,50,545,540,0,0,0,0,0,0,76292654,76494007,14059791,6628294,7672749,10127325,60042431,5958097,5958097,1671429,1916856
Sun Apr 30 19:46:00 UTC 2017,50,1195266048,779735.5,4,25747456,7994.27490234375,15,860237824,1583.37390136719,11,13,1126555648,1137000448,118254.4453125,,0.065499998629093,0.06700000166893,0.057500001043081,0.088249996304512,0.91688460111618,50,426,395,0,0,0,0,0,0,66371703,81531927,5873833,8251561,6930365,5369847,66512381,7597814,7597814,1707939,2494950
Sun Apr 30 19:45:00 UTC 2017,53,1195200512,416812.65625,3,24621056,7994.27490234375,15,860098560,1583.37390136719,8,7,1126641664,1136074752,118254.4453125,,0.071000002324581,0.068750001490116,0.059500001370907,0.087250001728535,0.91657292842865,20,346,316,0,0,0,0,0,0,88703521,96205464,50332502,9312587,11499510,65643706,87914495,12932410,12932410,5045375,2517804
Sun Apr 30 19:44:00 UTC 2017,39,1194307584,416812.65625,1,24621056,2966.57641601562,9,859930624,1583.37390136719,5,3,1126731776,1136164864,118254.4453125,,0.083499997854233,0.055750001221895,0.05375000089407,0.062749996781349,0.92548942565918,20,263,173,0,0,0,0,0,0,88441992,83981360,5934990,5777748,4284996,23698869,79198386,20053648,20053648,1478101,1618836
Sun Apr 30 19:43:00 UTC 2017,22,1194180608,436147.03125,1,25743360,2966.57641601562,13,859922432,1545.3603515625,6,4,1126821888,1137262592,118254.4453125,,0.075249999761582,0.063500002026558,0.05799999833107,0.078000001609325,0.925281941890717,20,212,173,0,0,0,0,0,0,90364804,103545713,3225424,29132579,3214957,6443518,97735740,34589528,34589528,9376399,1493130
Sun Apr 30 19:42:00 UTC 2017,25,1194364928,438842.1875,1,24621056,2966.57641601562,15,859914240,915.232971191406,5,4,1126912000,1137410048,43744.875,,0.063500002026558,0.05824999883771,0.059999998658896,0.067500002682209,0.925131738185883,10,174,134,0,0,0,0,0,0,94517081,97500524,5090784,3527700,5129769,24955720,90409095,36303410,36303410,1640216,3743985
Sun Apr 30 19:41:00 UTC 2017,22,1194299392,259232.90625,1,25743360,2966.57641601562,17,859906048,915.232971191406,3,2,1126998016,1136484352,43744.875,,0.063000001013279,0.061749998480082,0.052000001072884,0.068750001490116,0.925127327442169,10,131,92,0,0,0,0,0,0,80169032,81384896,4644954,4146714,2938517,2829511,75384586,28150208,28150208,2738233,1296872
Sun Apr 30 19:40:00 UTC 2017,13,1194201088,null,0,25739264,2246.83349609375,9,859774976,915.232971191406,2,2,1127145472,1136574464,43744.875,,0.07150000333786,0.05824999883771,0.050500001758337,0.060499999672175,0.925051987171173,10,101,65,0,0,0,0,0,0,80188039,95654317,32311832,3024885,28216652,7058357,89439387,27131297,27131297,1405347,3038971
Sun Apr 30 19:39:00 UTC 2017,12,1195995136,null,1,25739264,1956.73974609375,7,859680768,502.007568359375,4,3,1127292928,1136656384,33262.80859375,,0.063249997794628,0.063749998807907,0.051750000566244,0.070749998092651,0.925121009349823,5,76,47,0,0,0,0,0,0,87857692,82030788,71638990,21664228,5227611,10449343,83465872,45966161,45966161,1232055,2502890
Sun Apr 30 19:38:00 UTC 2017,13,1195216896,null,0,25739264,1391.03393554688,5,859676672,502.007568359375,3,3,1126981632,1137754112,25308.89453125,,0.063749998807907,0.059250000864267,0.057500001043081,0.068999998271465,0.925029516220093,5,52,30,0,0,0,0,0,0,79782884,92733411,5790892,11850604,47746109,12819800,87816240,48499925,48499925,3073333,1585179
Sun Apr 30 19:37:00 UTC 2017,9,1196040192,null,0,24616960,1391.03393554688,6,859676672,502.007568359375,4,4,1127067648,1136836608,25308.89453125,,0.068750001490116,0.063249997794628,0.045249998569489,0.064249999821186,0.925043165683746,5,52,30,0,0,0,0,0,0,88389054,82483296,11391858,4209312,6922218,5548780,81765733,55989007,55989007,2602837,1683804
Sun Apr 30 19:36:00 UTC 2017,11,1195020288,null,0,24608768,881.648803710938,6,859672576,502.007568359375,2,2,1127215104,1137934336,72.7327117919922,,0.065750002861023,0.060499999672175,0.056000001728535,0.068000003695488,0.925109267234802,3,34,20,0,0,0,0,0,0,108883557,98768989,3791950,7279847,20141624,6960601,97968483,57987251,57987251,2810566,2032136
Sun Apr 30 19:35:00 UTC 2017,6,1196040192,null,0,24608768,0,4,859553792,502.007568359375,0,0,1127301120,1137012736,72.7327117919922,,0.099500000476837,0.054749999195337,0.064999997615814,0.052749998867512,0.92509651184082,3,18,10,0,0,0,0,0,0,78034040,82741935,5925663,3997048,4524595,5120843,79882063,48018084,48018084,1829446,1466533
Sun Apr 30 19:34:00 UTC 2017,1,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,3,null,null,null,null,null,null,null,null,9062563,83172587,null,null,85865799,5806255,82166893,4761281,4761281,1363416,13642734
