_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 21:56:00 UTC 2017	338.0	1.130983424E9	4063947.75	25.0	2.8205056E7	43794.9140625	72.0	1.094311936E9	11430.0517578125	62.0	54.0	1.116377088E9	1.124777984E9	892669.8125	0.07699999958276749	0.09175000339746475	0.10074999928474426	0.20149999856948853	0.926639199256897	200.0	3691.0	3689.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0667405E7	3.2885484E7	3846327.0	3649506.0	4882369.0	3770395.0	2.7509055E7	5892943.0	5892943.0	1456205.0	1484531.0	
Sat Apr 29 21:55:00 UTC 2017	331.0	1.130602496E9	4063947.75	22.0	2.7045888E7	43794.9140625	75.0	1.093988352E9	11430.0517578125	54.0	52.0	1.118507008E9	1.122750464E9	892669.8125	0.10499999672174454	0.08349999785423279	0.1014999970793724	0.18850000202655792	0.926341712474823	150.0	3084.0	3094.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5523655E7	3.0781958E7	4079505.0	3246569.0	3656934.0	3048276.0	2.6047848E7	5542821.0	5542821.0	1624904.0	1414063.0	
Sat Apr 29 21:54:00 UTC 2017	294.0	1.131655168E9	4063947.75	18.0	2.7508736E7	43794.9140625	53.0	1.09381632E9	11430.0517578125	40.0	40.0	1.117560832E9	1.122832384E9	892669.8125	0.07000000029802322	0.07625000178813934	0.0820000022649765	0.16374999284744263	0.9261807203292847	150.0	2491.0	2492.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4598022E7	3.2642473E7	3318598.0	3032789.0	3822682.0	2927557.0	2.5950817E7	5397718.0	5397718.0	1434590.0	1415439.0	
Sat Apr 29 21:53:00 UTC 2017	230.0	1.130586112E9	4063947.75	16.0	2.6349568E7	43794.9140625	51.0	1.093849088E9	10682.9892578125	37.0	40.0	1.117642752E9	1.122361344E9	777605.9375	0.07325000315904617	0.07774999737739563	0.08924999833106995	0.15575000643730164	0.925718367099762	150.0	2015.0	2000.0	0.0	0.0	0.0	0.0	0.0	0.0	3.404902E7	3.2264454E7	3211567.0	3621896.0	3817846.0	3883975.0	2.4525306E7	5119551.0	5119551.0	1564991.0	1617992.0	
Sat Apr 29 21:52:00 UTC 2017	214.0	1.130770432E9	2158180.25	13.0	2.633728E7	37016.49609375	50.0	1.093660672E9	10682.9892578125	33.0	34.0	1.117790208E9	1.121476608E9	493649.625	0.07500000298023224	0.0794999971985817	0.07874999940395355	0.14100000262260437	0.9252076148986816	100.0	1618.0	1604.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3242249E7	2.9023505E7	3305642.0	3455075.0	3639586.0	3704083.0	2.4507483E7	5138997.0	5138997.0	1474415.0	1650223.0	
Sat Apr 29 21:51:00 UTC 2017	180.0	1.131470848E9	2158180.25	9.0	2.5653248E7	24569.25390625	30.0	1.093517312E9	5902.6884765625	24.0	21.0	1.118908416E9	1.119899648E9	493649.625	0.06800000369548798	0.06875000149011612	0.07150000333786011	0.11924999952316284	0.9242099523544312	100.0	1220.0	1208.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3328918E7	2.5041683E7	3959225.0	3420154.0	3695811.0	3127167.0	2.2836654E7	5111500.0	5111500.0	1509072.0	1504914.0	
Sat Apr 29 21:50:00 UTC 2017	118.0	1.13145856E9	2243042.75	10.0	2.5653248E7	24267.201171875	29.0	1.093431296E9	5873.197265625	24.0	21.0	1.11802368E9	1.119010816E9	493649.625	0.06674999743700027	0.06650000065565109	0.06700000166893005	0.12025000154972076	0.9239682555198669	100.0	952.0	925.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4354045E7	2.5688838E7	3492180.0	4073948.0	3687739.0	3235838.0	2.1216648E7	4684840.0	4684840.0	1420674.0	1535891.0	
Sat Apr 29 21:49:00 UTC 2017	126.0	1.131139072E9	892978.125	7.0	2.5653248E7	17773.384765625	27.0	1.093226496E9	5960.18115234375	21.0	16.0	1.118113792E9	1.12013312E9	429113.3125	0.07599999755620956	0.06700000166893005	0.06925000250339508	0.10700000077486038	0.9218932390213013	50.0	750.0	716.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8753949E7	3.2023119E7	4377974.0	4042424.0	4114136.0	5999311.0	2.3416811E7	4943915.0	4943915.0	1584652.0	1666941.0	
Sat Apr 29 21:48:00 UTC 2017	96.0	1.13000448E9	892978.125	4.0	2.5653248E7	9463.0673828125	14.0	1.093255168E9	2401.3388671875	12.0	5.0	1.118326784E9	1.117704192E9	291849.90625	0.061000000685453415	0.06650000065565109	0.05550000071525574	0.08299999684095383	0.9213491678237915	50.0	551.0	514.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9258932E7	3.2056845E7	3844087.0	3223335.0	3348334.0	5010262.0	2.3181894E7	5017810.0	5017810.0	1787299.0	1523082.0	
Sat Apr 29 21:47:00 UTC 2017	51.0	1.131008E9	892978.125	3.0	2.680832E7	9463.0673828125	14.0	1.093238784E9	1389.9827880859375	12.0	6.0	1.118285824E9	1.117790208E9	254856.796875	0.07124999910593033	0.05925000086426735	0.05925000086426735	0.08299999684095383	0.9221261739730835	50.0	430.0	387.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4281187E7	2.693032E7	3575213.0	3767385.0	2940445.0	2857573.0	2.1605982E7	4367825.0	4367825.0	1882495.0	1331096.0	
