_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count3	status_500_count1	status_500_count3	status_0_count1	status_0_count3	status_other_count1	status_other_count3	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 14:08:00 UTC 2017	266.0	1.090777088E9	3565790.25	19.0	2.1446656E7	68439.6015625	52.0	1.110474752E9	12295.498046875	49.0	44.0	5.78260992E8	5.94784256E8	592851.9375	null	0.0860000029206276	0.1107499971985817	0.11050000041723251	0.1367499977350235	0.783508837223053	139.0	4115.0	4156.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8229987E7	4.9158357E7	5209699.0	1.760606E7	4944541.0	5050698.0	null	3.077059E7	null	5725651.0	null	5725651.0	1467099.0	1560278.0	
Fri May 12 14:07:00 UTC 2017	248.0	1.089814528E9	3565790.25	17.0	2.1446656E7	63289.17578125	52.0	1.110163456E9	12469.970703125	46.0	45.0	5.83589888E8	5.9682816E8	592851.9375	null	0.09449999779462814	0.10374999791383743	0.09600000083446503	0.14249999821186066	0.7834094762802124	106.0	3675.0	3719.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8970741E7	6.7082278E7	5605963.0	1.4240583E7	4912013.0	1.3450872E7	null	3.4904532E7	null	5454015.0	null	5454015.0	1352221.0	1374529.0	
Fri May 12 14:06:00 UTC 2017	235.0	1.090871296E9	3565790.25	15.0	2.144256E7	50392.90234375	44.0	1.110093824E9	10818.462890625	37.0	39.0	5.8642432E8	6.01161728E8	592851.9375	null	0.08150000125169754	0.10599999874830246	0.09624999761581421	0.12300000339746475	0.7832098603248596	106.0	3256.0	3293.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8566487E7	6.2945782E7	5154737.0	6409076.0	5790087.0	1.9343803E7	null	3.0449128E7	null	5499112.0	null	5499112.0	1442931.0	1394253.0	
Fri May 12 14:05:00 UTC 2017	198.0	1.089777664E9	3565790.25	14.0	2.0508672E7	50392.90234375	42.0	1.110102016E9	9953.7900390625	32.0	37.0	5.920768E8	6.05425664E8	592851.9375	null	0.10649999976158142	0.09875000268220901	0.09650000184774399	0.12700000405311584	0.7830684781074524	106.0	2833.0	2877.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3403781E7	6.5999268E7	1.9745107E7	1.2394963E7	2.7500386E7	4194252.0	null	3.138606E7	null	5461901.0	null	5461901.0	1459728.0	1503616.0	
Fri May 12 14:04:00 UTC 2017	181.0	1.0899456E9	3468629.75	14.0	2.0508672E7	43882.296875	43.0	1.109942272E9	10201.318359375	34.0	39.0	5.95841024E8	6.10410496E8	298195.625	393420.0	0.0794999971985817	0.10350000113248825	0.08924999833106995	0.125	0.7825591564178467	84.0	2493.0	2531.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3498481E7	7.4452486E7	1.5149761E7	1.0549935E7	2.2417802E7	9726397.0	null	3.7213136E7	null	5540909.0	null	5540909.0	1356232.0	1388431.0	
Fri May 12 14:03:00 UTC 2017	191.0	1.090351104E9	3468629.75	13.0	2.144256E7	43882.296875	42.0	1.10987264E9	9876.8447265625	34.0	37.0	6.02312704E8	6.15571456E8	298195.625	393420.0	0.08224999904632568	0.09674999862909317	0.09775000065565109	0.11100000143051147	0.7823556065559387	84.0	2151.0	2201.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8561168E7	6.8369614E7	2.3669928E7	1.14952E7	1.1654123E7	1.3884189E7	null	3.7225736E7	null	5643219.0	null	5643219.0	1533853.0	1316917.0	
Fri May 12 14:02:00 UTC 2017	178.0	1.090338816E9	3508978.0	13.0	2.0504576E7	43882.296875	47.0	1.109204992E9	9876.8447265625	34.0	42.0	6.09878016E8	6.22485504E8	298195.625	393420.0	0.08824999630451202	0.10925000160932541	0.09449999779462814	0.12250000238418579	0.7843034267425537	84.0	1811.0	1865.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6053619E7	7.7000233E7	5674253.0	5890835.0	9654373.0	1.0130939E7	null	3.5415117E7	null	5616953.0	null	5616953.0	1537375.0	1725925.0	
Fri May 12 14:01:00 UTC 2017	181.0	1.08965888E9	1632011.625	11.0	2.1438464E7	43882.296875	42.0	1.109110784E9	9568.72265625	30.0	39.0	6.17189376E8	6.29456896E8	298195.625	393420.0	0.07349999994039536	0.09600000083446503	0.08699999749660492	0.11699999868869781	0.7818795442581177	81.0	1488.0	1544.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9728535E7	7.9497482E7	3.8987526E7	1.8795991E7	3.8710996E7	4963301.0	null	3.1574108E7	null	5444810.0	null	5444810.0	1517631.0	1390948.0	
Fri May 12 14:00:00 UTC 2017	158.0	1.088708608E9	1632011.625	8.0	2.138112E7	23717.390625	28.0	1.109188608E9	3556.468994140625	22.0	26.0	6.24103424E8	6.34970112E8	298195.625	393420.0	0.08150000125169754	0.08624999970197678	0.07750000059604645	0.0989999994635582	0.7816882729530334	81.0	1169.0	1216.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8973054E7	7.2230277E7	1.7797532E7	2.3378584E7	1.5698015E7	1.3328765E7	null	3.4399605E7	null	5867599.0	null	5867599.0	1646479.0	1465805.0	
Fri May 12 13:59:00 UTC 2017	107.0	1.089605632E9	1632011.625	7.0	1.9771392E7	23717.390625	24.0	1.10942208E9	3556.468994140625	17.0	20.0	6.28350976E8	6.41273856E8	298195.625	393420.0	0.08675000071525574	0.08924999833106995	0.07524999976158142	0.0925000011920929	0.781013548374176	81.0	858.0	898.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5710719E7	7.6773183E7	2.6063435E7	1.5254278E7	1.0776025E7	5708024.0	null	6.1411046E7	null	5598773.0	null	5598773.0	1424774.0	2380791.0	
Fri May 12 13:58:00 UTC 2017	92.0	1.088643072E9	1632011.625	6.0	2.0656128E7	23717.390625	24.0	1.108967424E9	3556.468994140625	16.0	19.0	6.34740736E8	6.4681984E8	246829.578125	261576.046875	0.07074999809265137	0.07900000363588333	0.07450000196695328	0.10074999928474426	0.7808569669723511	43.0	674.0	711.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3059469E7	8.4543703E7	4740772.0	2.3144711E7	5728935.0	3.0034082E7	null	6.2724312E7	null	5765553.0	null	5765553.0	1945468.0	1588320.0	
