_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 11:51:00 UTC 2017	929.0	1.504940032E9	1.5233731E7	69.0	2.2806528E7	245975.53125	125.0	8.28145664E8	33191.83984375	183.0	146.0	1.144270848E9	1.152929792E9	3753754.25	0.10350000113248825	0.20774999260902405	0.23549999296665192	0.34575000405311584	0.8322343230247498	419.0	25540.0	25752.0	410.0	417.0	0.0	0.0	0.0	0.0	2.27935616E8	2.53716251E8	6.1636488E7	5.8572882E7	6.6679616E7	5.6840468E7	1.04378284E8	5.3520934E7	5.3520934E7	5365160.0	5647236.0	
Sat May 13 11:52:00 UTC 2017	959.0	1.522909184E9	1.7611642E7	69.0	2.4457216E7	241019.15625	122.0	8.28510208E8	33191.83984375	184.0	151.0	1.144905728E9	1.152692224E9	3681661.5	0.09650000184774399	0.22175000607967377	0.22425000369548798	0.3332499861717224	0.8304191827774048	455.0	27101.0	27308.0	528.0	530.0	0.0	0.0	0.0	0.0	2.24984967E8	2.30135514E8	5.836105E7	6.0868958E7	6.3091303E7	5.9646387E7	1.02861468E8	5.4086073E7	5.4086073E7	5966725.0	5796060.0	
Sat May 13 11:53:00 UTC 2017	970.0	1.508564992E9	1.8039338E7	70.0	2.4395776E7	251801.828125	124.0	8.28997632E8	33191.83984375	190.0	154.0	1.14714624E9	1.152425984E9	3681661.5	0.11124999821186066	0.21375000476837158	0.2290000021457672	0.34825000166893005	0.830265998840332	455.0	28753.0	28950.0	660.0	682.0	0.0	0.0	0.0	0.0	2.91699731E8	2.96309823E8	8.1114925E7	7.7052843E7	6.620694E7	6.5477092E7	1.08759922E8	5.7992735E7	5.7992735E7	6037060.0	6101057.0	
Sat May 13 11:54:00 UTC 2017	958.0	1.523646464E9	1.8039338E7	72.0	2.4363008E7	251664.3125	124.0	8.29251584E8	41003.65625	192.0	156.0	1.147322368E9	1.152741376E9	3681661.5	0.1080000028014183	0.22425000369548798	0.25	0.3407500088214874	0.8311388492584229	455.0	30340.0	30530.0	831.0	883.0	0.0	0.0	0.0	0.0	3.14760531E8	2.95231764E8	1.1480255E8	7.5472773E7	7.952912E7	7.8731035E7	1.10071138E8	5.881216E7	5.881216E7	9316252.0	8898603.0	
Sat May 13 11:55:00 UTC 2017	984.0	1.520893952E9	1.8039338E7	76.0	2.4469504E7	259013.75	122.0	8.29661184E8	40223.10546875	195.0	158.0	1.148850176E9	1.153462272E9	3681661.5	0.12224999815225601	0.22550000250339508	0.42925000190734863	0.3425000011920929	0.8308991193771362	498.0	31928.0	32115.0	1038.0	1086.0	0.0	0.0	0.0	0.0	2.94508414E8	2.96741E8	8.0580101E7	6.7623987E7	7.6018226E7	7.8789777E7	1.09360988E8	5.9174624E7	5.9174624E7	6232391.0	6063533.0	
Sat May 13 11:56:00 UTC 2017	987.0	1.518526464E9	1.8039338E7	72.0	2.5423872E7	259013.75	125.0	8.29902848E8	40223.10546875	193.0	162.0	1.149353984E9	1.154760704E9	3681661.5	0.09475000202655792	0.22574999928474426	0.23149999976158142	0.3605000078678131	0.8324251770973206	498.0	33619.0	33790.0	1251.0	1296.0	0.0	1.0	0.0	0.0	3.17636033E8	3.11300083E8	8.0783985E7	7.8976725E7	8.1609337E7	7.5258524E7	1.11412645E8	6.0492973E7	6.0492973E7	7957591.0	9365336.0	
Sat May 13 11:57:00 UTC 2017	996.0	1.52434688E9	1.8039338E7	74.0	2.5468928E7	250267.53125	123.0	8.30189568E8	40223.10546875	196.0	166.0	1.149825024E9	1.154994176E9	3681661.5	0.10350000113248825	0.23000000417232513	0.24300000071525574	0.3527500033378601	0.832758367061615	498.0	35228.0	35401.0	1530.0	1592.0	0.0	2.0	0.0	0.0	3.42352719E8	3.48682367E8	9.7611886E7	8.4909922E7	7.0780744E7	8.373168E7	1.17234068E8	6.1217182E7	6.1217182E7	7990645.0	7461344.0	
Sat May 13 11:58:00 UTC 2017	991.0	1.526587392E9	1.8146894E7	74.0	2.5419776E7	259511.34375	124.0	8.30861312E8	41162.55859375	197.0	170.0	1.150169088E9	1.155198976E9	3681661.5	0.10849999636411667	0.22975000739097595	0.2409999966621399	0.34599998593330383	0.8335920572280884	511.0	36840.0	37043.0	1840.0	1896.0	1.0	2.0	0.0	0.0	3.24097593E8	3.18325143E8	8.0062012E7	8.8487035E7	7.6896009E7	8.8390979E7	1.12771226E8	6.0715767E7	6.0715767E7	7717297.0	7224106.0	
Sat May 13 11:59:00 UTC 2017	995.0	1.519095808E9	1.8290338E7	73.0	2.459648E7	259511.34375	123.0	8.31188992E8	41162.55859375	197.0	167.0	1.150124032E9	1.157091328E9	3681661.5	0.09849999845027924	0.23225000500679016	0.24124999344348907	0.36000001430511475	0.8328791856765747	511.0	38446.0	38719.0	2155.0	2159.0	1.0	3.0	0.0	0.0	3.38933063E8	3.60517192E8	8.7820522E7	8.9779434E7	8.8299981E7	7.8753923E7	1.16862811E8	6.1525719E7	6.1525719E7	8251401.0	8787082.0	
Sat May 13 12:00:00 UTC 2017	993.0	1.518174208E9	1.8290338E7	74.0	2.5300992E7	254327.75	120.0	8.31545344E8	41468.79296875	191.0	164.0	1.150234624E9	1.156083712E9	3681661.5	0.10324999690055847	0.22849999368190765	0.2382500022649765	0.35374999046325684	0.8329344987869263	511.0	40047.0	40328.0	2489.0	2496.0	1.0	4.0	0.0	0.0	3.63406498E8	3.55839778E8	9.7811909E7	8.2640954E7	8.9081565E7	9.1165669E7	1.18730157E8	6.1317195E7	6.1317195E7	8607660.0	1.0488045E7	
Sat May 13 12:01:00 UTC 2017	992.0	1.488826368E9	1.8201078E7	74.0	2.6796032E7	254327.75	121.0	8.31782912E8	41468.79296875	195.0	168.0	1.150357504E9	1.15644416E9	3681661.5	0.10625000298023224	0.2342499941587448	0.23375000059604645	0.3492499887943268	0.8260881304740906	548.0	41647.0	41963.0	2792.0	2818.0	2.0	4.0	0.0	0.0	3.47813533E8	3.31972269E8	9.0014925E7	9.2898277E7	1.01382118E8	8.8118221E7	1.16972304E8	6.1760526E7	6.1760526E7	7883708.0	9403582.0	
Sat May 13 12:02:00 UTC 2017	996.0	1.524015104E9	1.8201078E7	75.0	2.6230784E7	269996.9375	123.0	8.32188416E8	41468.79296875	190.0	171.0	1.150349312E9	1.156816896E9	3643677.0	0.09525000303983688	0.22374999523162842	0.26475000381469727	0.3622500002384186	0.8329423069953918	548.0	43237.0	43580.0	3135.0	3201.0	2.0	6.0	0.0	0.0	3.88611278E8	3.78564017E8	9.6288572E7	8.2845882E7	9.0587241E7	9.931379E7	1.19012263E8	6.2604808E7	6.2604808E7	8805264.0	8440210.0	
Sat May 13 12:03:00 UTC 2017	998.0	1.52758272E9	1.8201078E7	75.0	2.633728E7	258490.859375	120.0	8.32651264E8	41468.79296875	194.0	173.0	1.150488576E9	1.157246976E9	3643677.0	0.11124999821186066	0.23499999940395355	0.2409999966621399	0.3490000069141388	0.8336253762245178	548.0	44777.0	45218.0	3541.0	3574.0	3.0	7.0	0.0	0.0	3.7465429E8	3.82192346E8	9.1169265E7	9.0758318E7	9.9591463E7	9.1382603E7	1.22110253E8	6.3233324E7	6.3233324E7	8780646.0	7959422.0	
Sat May 13 12:04:00 UTC 2017	994.0	1.496793088E9	1.8187002E7	75.0	2.4604672E7	258490.859375	121.0	8.32925696E8	41468.79296875	191.0	169.0	1.15054592E9	1.156542464E9	3643677.0	0.10199999809265137	0.2317499965429306	0.24324999749660492	0.35600000619888306	0.8319207429885864	600.0	46367.0	46869.0	3891.0	3954.0	5.0	7.0	0.0	0.0	3.80855549E8	3.7302471E8	9.2579095E7	8.5915289E7	7.6419024E7	9.4557759E7	1.19144064E8	6.2849845E7	6.2849845E7	7856308.0	8437769.0	
Sat May 13 12:05:00 UTC 2017	991.0	1.523232768E9	1.8093848E7	74.0	2.5276416E7	255990.609375	120.0	8.33347584E8	41304.54296875	188.0	169.0	1.150701568E9	1.157066752E9	3643677.0	0.11800000071525574	0.23675000667572021	0.2382500022649765	0.36399999260902405	0.8339257836341858	600.0	47973.0	48493.0	4221.0	4316.0	6.0	8.0	0.0	0.0	3.54502393E8	3.62792112E8	8.2982887E7	9.3505912E7	8.2630276E7	8.9040391E7	1.1590604E8	6.1653253E7	6.1653253E7	7385628.0	6716022.0	
Sat May 13 12:06:00 UTC 2017	997.0	1.515732992E9	1.8093848E7	74.0	2.5186304E7	260310.65625	123.0	8.33593344E8	41304.54296875	195.0	176.0	1.150271488E9	1.158299648E9	3643677.0	0.11400000005960464	0.23899999260902405	0.25600001215934753	0.34975001215934753	0.8334839344024658	600.0	49543.0	50111.0	4595.0	4719.0	7.0	9.0	0.0	0.0	3.95008581E8	3.937683E8	9.9481409E7	9.5861318E7	9.666466E7	9.572698E7	1.23259145E8	6.3431869E7	6.3431869E7	9085457.0	1.1491448E7	
