_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge1,memusage_edge1,cpuusage_edge2,memusage_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge1,responseTimePercentile_edge2
2017-04-20-19:28:00,18,467263488,0,0,0,0,0,362196992,0,0.054249998182058,0.050500001758337,0.990249991416931,5,36,0,0,0,120,0,0,0,0,0,0
2017-04-20-19:28:00,18,467263488,0,0,0,0,0,362196992,0,0.054249998182058,0.050500001758337,0.990249991416931,5,36,0,0,0,120,0,0,0,0,0,0
2017-04-20-19:29:00,22,468656128,0,0,0,0,0,1052672,0,0.056749999523163,0.048500001430512,0.990499973297119,10,58,0,0,0,147,0,0,0,0,0,0
2017-04-20-19:29:00,22,468656128,0,0,0,0,0,1052672,0,0.056749999523163,0.048500001430512,0.990499973297119,10,58,0,0,0,147,0,0,0,0,0,0
2017-04-20-19:30:00,27,470966272,0,0,0,0,0,359473152,0,0.055250000208616,0.048250000923872,0.990000009536743,10,99,0,0,0,189,0,0,0,0,0,0
2017-04-20-19:30:00,27,470966272,0,0,0,0,0,359473152,0,0.055250000208616,0.048250000923872,0.990000009536743,10,99,0,0,0,189,0,0,0,0,0,0
2017-04-20-19:31:00,31,472842240,0,0,0,0,4,358842368,0,0.061749998480082,0.052749998867512,0.990000009536743,10,138,0,0,0,230,0,0,0,0,0,0
2017-04-20-19:31:00,31,472842240,0,0,0,0,4,358842368,0,0.061749998480082,0.052749998867512,0.990000009536743,10,138,0,0,0,230,0,0,0,0,0,0
2017-04-20-19:32:00,39,476913664,0,0,0,0,3,357810176,0,0.04924999922514,0.049750000238419,0.989750027656555,20,187,0,0,0,280,0,0,0,0,0,0
2017-04-20-19:32:00,39,476913664,0,0,0,0,3,357810176,0,0.04924999922514,0.049750000238419,0.989750027656555,20,187,0,0,0,280,0,0,0,0,0,0
2017-04-20-19:33:00,52,480952320,0,0,0,0,3,357810176,0,0.055750001221895,0.054749999195337,0.989000022411346,20,263,0,0,0,359,0,0,0,0,0,0
2017-04-20-19:33:00,52,480952320,0,0,0,0,3,357810176,0,0.055750001221895,0.054749999195337,0.989000022411346,20,263,0,0,0,359,0,0,0,0,0,0
2017-04-20-19:34:00,57,487378944,0,24457216,0,0,3,354164736,0,0.056499999016523,0.061999998986721,0.987749993801117,20,345,0,0,0,440,0,0,0,0,0,0
2017-04-20-19:34:00,57,487378944,0,24457216,0,0,3,354164736,0,0.056499999016523,0.061999998986721,0.987749993801117,20,345,0,0,0,440,0,0,0,0,0,0
2017-04-20-19:35:00,86,493375488,2,24457216,0,0,7,353697792,0,0.055250000208616,0.050250001251698,0.987749993801117,50,451,4,0,0,557,2,0,0,0,0,0
2017-04-20-19:35:00,86,493375488,2,24457216,0,0,7,353697792,0,0.055250000208616,0.050250001251698,0.987749993801117,50,451,4,0,0,557,2,0,0,0,0,0
2017-04-20-19:36:00,128,519020544,2,24457216,0,0,0,0,0,0.059250000864267,0.061500001698732,0.985000014305115,50,648,4,0,0,749,2,0,0,0,0,0
2017-04-20-19:36:00,128,519020544,2,24457216,0,0,0,0,0,0.059250000864267,0.061500001698732,0.985000014305115,50,648,4,0,0,749,2,0,0,0,0,0
2017-04-20-19:37:00,148,556949504,2,24457216,0,411525120,0,356065280,0,0.063249997794628,0.069250002503395,0.9825000166893,50,845,4,0,0,952,2,0,0,0,0,0
2017-04-20-19:37:00,148,556949504,2,24457216,0,411525120,0,356065280,0,0.063249997794628,0.069250002503395,0.9825000166893,50,845,4,0,0,952,2,0,0,0,0,0
2017-04-20-19:38:00,180,603885568,2,25071616,0,411525120,18,355655680,0,0.054499998688698,0.064000003039837,0.981249988079071,100,1081,17,0,0,1204,18,0,0,0,0,0
2017-04-20-19:38:00,180,603885568,2,25071616,0,411525120,18,355655680,0,0.054499998688698,0.064000003039837,0.981249988079071,100,1081,17,0,0,1204,18,0,0,0,0,0
2017-04-20-19:39:00,267,674623488,2,25071616,0,411525120,18,355655680,0,0.061000000685454,0.067249998450279,0.977500021457672,100,1472,17,0,0,1592,18,0,0,0,0,0
2017-04-20-19:39:00,267,674623488,2,25071616,0,411525120,18,355655680,0,0.061000000685454,0.067249998450279,0.977500021457672,100,1472,17,0,0,1592,18,0,0,0,0,0
2017-04-20-19:40:00,269,773087232,2,26595328,0,411525120,18,0,0,0.062249999493361,0.083750002086163,0.972249984741211,100,1860,18,0,0,1980,20,0,0,0,0,0
2017-04-20-19:40:00,269,773087232,2,26595328,0,411525120,18,0,0,0.062249999493361,0.083750002086163,0.972249984741211,100,1860,18,0,0,1980,20,0,0,0,0,0
2017-04-20-19:41:00,261,908259328,11,26017792,0,1044480,0,360181760,0,0.066249996423721,0.076750002801418,0.971499979496002,150,2278,40,0,0,2432,33,0,0,0,0,0
2017-04-20-19:41:00,261,908259328,11,26017792,0,1044480,0,360181760,0,0.066249996423721,0.076750002801418,0.971499979496002,150,2278,40,0,0,2432,33,0,0,0,0,0
2017-04-20-19:42:00,325,1007919104,12,27463680,0,1044480,0,0,0,0.05375000089407,0.087499998509884,0.969500005245209,150,2853,50,0,0,3019,37,0,0,0,0,0
2017-04-20-19:42:00,325,1007919104,12,27463680,0,1044480,0,0,0,0.05375000089407,0.087499998509884,0.969500005245209,150,2853,50,0,0,3019,37,0,0,0,0,0
2017-04-20-19:43:00,348,1064595456,15,26865664,0,1044480,0,365379584,0.100000001490116,0.067249998450279,0.092000000178814,0.96450001001358,150,3424,52,0,0,3598,40,0,0,0,0,0
2017-04-20-19:43:00,348,1064595456,15,26865664,0,1044480,0,365379584,0.100000001490116,0.067249998450279,0.092000000178814,0.96450001001358,150,3424,52,0,0,3598,40,0,0,0,0,0
2017-04-20-19:44:00,354,1064964096,16,28942336,0,1044480,51,365404160,0.127250000834465,0.067500002682209,0.095749996602535,0.96399998664856,200,4026,81,0,0,4235,63,0,0,0,0,0
