_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra1	memusage_cassandra2	network_cassandra1	cpuusage_edge2	cpuusage_edge3	memusage_edge2	memusage_edge3	network_edge1	network_edge4	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_viewfeedresponsetime_edge3	percentile_viewfeedresponsetime_edge4	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_addfeedresponsetime_edge3	percentile_addfeedresponsetime_edge4	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_deletefeedresponsetime_edge3	percentile_deletefeedresponsetime_edge4	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle1	percentile_sub_middle2	percentile_unsub_middle1	percentile_unsub_middle2	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Thu Jul 27 08:32:00 UTC 2017	323.0	1.077133312E9	5151360.5	23.0	2.8643328E7	87041.7890625	2.0	4.6690304E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1243168.125	1327025.125	0.10575000196695328	0.09549999982118607	0.14524999260902405	0.9570000171661377	0.7809745073318481	200.0	null	null	null	null	6.09727557E8	null	null	4.68243023E8	1.38400802E8	null	null	1.01801631E8	1.0899833E8	null	null	1.14209896E8	null	2.50205794E8	5.6768651E7	5.6768651E7	null	2.8494924E7	null	2.4772214E7	286.0	285.0	286.0	292.0	281.0	277.0	284.0	280.0	289.0	284.0	282.0	
Thu Jul 27 08:31:00 UTC 2017	315.0	1.032572928E9	5151360.5	18.0	2.838528E7	87041.7890625	2.0	4.62811136E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1079772.5	null	0.12224999815225601	0.07925000041723251	0.13449999690055847	0.9622499942779541	0.7761703729629517	150.0	null	null	null	null	3.00372422E8	null	null	2.95763982E8	4.4134413E7	null	null	6.4749476E7	6.6339147E7	null	null	4.4102528E7	null	1.7984283E8	4.1070835E7	4.1070835E7	null	1.2849803E7	null	1.3690515E7	289.0	292.0	290.0	290.0	291.0	289.0	294.0	291.0	289.0	292.0	293.0	
Thu Jul 27 08:30:00 UTC 2017	252.0	9.92768E8	4462873.0	16.0	2.9315072E7	87041.7890625	2.0	4.63773696E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	944211.125	null	0.10499999672174454	0.07874999940395355	0.11249999701976776	0.9670000076293945	0.7729347944259644	150.0	null	null	null	null	2.25631114E8	null	null	2.37947888E8	4.1141928E7	null	null	6.9434459E7	6.0515166E7	null	null	4.6944931E7	null	1.48098138E8	3.5204838E7	3.5204838E7	null	1.4850245E7	null	1.2604315E7	304.0	298.0	301.0	298.0	298.0	298.0	300.0	295.0	300.0	303.0	302.0	
Thu Jul 27 08:29:00 UTC 2017	215.0	1.005064192E9	2573924.5	14.0	2.7783168E7	76693.046875	2.0	4.59825152E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	777981.25	null	0.12300000339746475	0.07975000143051147	0.11900000274181366	0.968500018119812	0.7715976238250732	150.0	null	null	null	null	2.2196411E8	null	null	1.96312924E8	4.5843522E7	null	null	6.7832599E7	8.7704202E7	null	null	5.8641265E7	null	1.3897716E8	3.1162548E7	3.1162548E7	null	1.9188145E7	null	1.640824E7	300.0	303.0	300.0	302.0	305.0	308.0	308.0	302.0	303.0	303.0	299.0	
Thu Jul 27 08:28:00 UTC 2017	198.0	1.012846592E9	2573924.5	10.0	2.772992E7	38095.6796875	2.0	4.58604544E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	422251.375	321249.3125	0.10324999690055847	0.0677499994635582	0.10175000131130219	0.9760000109672546	0.7728090882301331	100.0	null	null	null	null	1.46826942E8	null	null	1.4990316E8	3.9058172E7	null	null	5.4352779E7	5.0745165E7	null	null	4.5099682E7	null	9.2420512E7	2.1761012E7	2.1761012E7	null	4982226.0	null	9604050.0	309.0	312.0	312.0	312.0	309.0	305.0	310.0	307.0	310.0	311.0	312.0	
Thu Jul 27 08:27:00 UTC 2017	141.0	1.02232064E9	1150100.375	8.0	2.656256E7	38095.6796875	2.0	4.56544256E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	422251.375	321249.3125	0.0925000011920929	0.0677499994635582	0.08574999868869781	0.9794999957084656	0.7764962315559387	100.0	null	null	null	null	1.36632864E8	null	null	1.46464515E8	1.21442791E8	null	null	8.0907953E7	1.38991541E8	null	null	7.9466156E7	null	9.7935188E7	2.2241361E7	2.2241361E7	null	2.3557866E7	null	1.5998704E7	316.0	315.0	312.0	313.0	317.0	316.0	323.0	312.0	315.0	312.0	314.0	
Thu Jul 27 08:26:00 UTC 2017	108.0	1.035505664E9	1150100.375	6.0	2.5288704E7	20792.77734375	2.0	4.5647872E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	147716.984375	157103.640625	0.0885000005364418	0.06274999678134918	0.08275000005960464	0.9804999828338623	0.7750915288925171	100.0	null	null	null	null	1.27511358E8	null	null	1.60120708E8	5.5376919E7	null	null	7.142939E7	1.41146781E8	null	null	2.4504967E7	null	1.04862409E8	1.6966487E7	1.6966487E7	null	4.1030603E7	null	1.1794283E7	318.0	317.0	318.0	318.0	317.0	308.0	324.0	312.0	320.0	315.0	318.0	
Thu Jul 27 08:25:00 UTC 2017	90.0	1.048608768E9	1150100.375	4.0	2.6324992E7	20792.77734375	2.0	4.56433664E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	147716.984375	157103.640625	0.09875000268220901	0.05974999815225601	0.07100000232458115	0.9827499985694885	0.7758219838142395	50.0	null	null	null	null	1.06482722E8	null	null	9.6331727E7	6.2276578E7	null	null	1.3426432E7	6.21269E7	null	null	3.3606188E7	null	8.9644925E7	1.5579038E7	1.5579038E7	null	2681258.0	null	1.5393086E7	322.0	323.0	325.0	324.0	318.0	314.0	329.0	319.0	322.0	321.0	325.0	
Thu Jul 27 08:24:00 UTC 2017	62.0	1.052545024E9	447156.875	3.0	2.6324992E7	15122.51953125	2.0	4.55401472E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	147716.984375	157103.640625	0.09875000268220901	0.06024999916553497	0.06274999678134918	0.9857500195503235	0.7768543362617493	50.0	null	null	null	null	1.12745722E8	null	null	1.15411068E8	4.860747E7	null	null	6.8253007E7	5.7459581E7	null	null	4.4249983E7	null	9.2313913E7	1.6579726E7	1.6579726E7	null	4.4348943E7	null	1.1318241E7	330.0	325.0	322.0	327.0	323.0	319.0	321.0	326.0	327.0	324.0	328.0	
Thu Jul 27 08:23:00 UTC 2017	49.0	1.06104832E9	447156.875	2.0	2.6324992E7	12300.8486328125	2.0	4.54029312E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	147716.984375	157103.640625	0.08900000154972076	0.05274999886751175	0.06499999761581421	0.9865000247955322	0.7774199843406677	50.0	null	null	null	null	1.41162434E8	null	null	1.61335607E8	3.4941696E7	null	null	6.6049208E7	2.8520914E7	null	null	1.0343894E7	null	1.25541226E8	1.4106052E7	1.4106052E7	null	2.0902721E7	null	1.3132626E7	327.0	326.0	326.0	325.0	322.0	325.0	329.0	319.0	323.0	323.0	326.0	
Thu Jul 27 08:22:00 UTC 2017	39.0	1.063653376E9	447156.875	2.0	2.6324992E7	9278.3251953125	2.0	4.52878336E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	131632.8125	null	0.08874999731779099	0.05700000002980232	0.05974999815225601	0.987500011920929	0.7777751684188843	20.0	null	null	null	null	1.1807398E8	null	null	1.5473672E8	1.27520808E8	null	null	2.7177024E7	4.1635384E7	null	null	1.2026387E7	null	1.24241265E8	2.393034E7	2.393034E7	null	4.1553615E7	null	1879513.0	325.0	325.0	325.0	326.0	324.0	321.0	330.0	325.0	329.0	326.0	326.0	
Thu Jul 27 08:21:00 UTC 2017	32.0	1.0682368E9	447156.875	1.0	2.6324992E7	6819.173828125	2.0	4.53599232E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	131632.8125	null	0.0872500017285347	0.057500001043081284	0.05375000089406967	0.9884999990463257	0.7780951261520386	20.0	null	null	null	null	1.43165611E8	null	null	1.46678738E8	6.569153E7	null	null	4.5874117E7	5.5607388E7	null	null	5.5269699E7	null	1.07394617E8	1.4180324E7	1.4180324E7	null	2491681.0	null	4029261.0	326.0	325.0	325.0	328.0	330.0	331.0	324.0	325.0	325.0	328.0	327.0	
Thu Jul 27 08:20:00 UTC 2017	24.0	1.070927872E9	447156.875	1.0	2.5288704E7	6819.173828125	2.0	4.5252608E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	24.079439163208008	22.63605308532715	0.0860000029206276	0.05400000140070915	0.05350000038743019	0.9882500171661377	0.7784234285354614	20.0	null	null	null	null	1.42180119E8	null	null	1.7253698E8	1.4772027E7	null	null	3937041.0	7.0684282E7	null	null	3994490.0	null	1.23191514E8	2.7580049E7	2.7580049E7	null	1655789.0	null	1756618.0	329.0	327.0	324.0	326.0	327.0	343.0	330.0	325.0	326.0	324.0	326.0	
