,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18090,27554,26631,22023,27067,22729,18230,28330,23013,30747,12529,17819,23888,23798,29572,31058,25394,22747,13040,18071,21633,28187,27538,24789,10081,29180,28973,20809,27899,21251,21474,19536,19487,20761,27325,30699,19056,16346,24859,21617,20834,12042,28530,10882,24232,31779,26751,22822,21466,29108,21659,21572,23011,28667,18645,16274,26838,29881,22106,23299,17430,22845,25717,21527,28834,27166,25792,19400,16002,18242,30646,28224,21850,22943,28498,27658,11013,34753,21026,24562,26852,24627,24560
20200,30159,29278,24413,29686,24846,20644,31113,25339,33347,13895,19818,25967,25860,31986,33528,27563,24892,15100,20337,23469,30584,30331,27150,11659,31582,31942,23111,30482,23989,23844,21588,21597,22974,30094,33470,21594,18254,27170,23685,22865,13771,31061,12552,26601,34890,29144,25007,23598,31583,23914,23630,25280,31133,20354,18316,29129,32488,23862,26007,19464,25009,28072,23667,31412,29537,28091,21118,18130,20840,33263,30758,24196,25004,31244,29556,12848,37706,23146,27072,29587,26741,26753
22294,32612,31961,26944,32265,27029,23054,33822,27540,35935,15565,21860,28410,27977,34163,36020,30039,26768,17118,22508,25329,33284,33076,29313,13124,33499,34825,25428,32938,26753,26221,23627,23658,24791,32933,36279,24049,19825,29492,26131,25030,14987,33140,14272,29001,37916,31553,27138,25733,33799,26277,25720,27110,33456,22273,20394,31374,35092,25338,28712,21719,27203,30403,25824,33639,31897,30880,22684,20333,23425,35569,33424,26561,27072,33951,31598,14690,40465,25261,29850,32319,28859,28705
24400,35053,34634,29512,34247,29226,25373,36545,29716,38391,17230,24270,30832,30305,36314,38639,32541,28619,18697,24687,27186,35999,35683,31496,14155,35402,37287,27873,35383,29582,28818,25730,24915,26627,35933,39095,26229,21398,31981,28538,27218,16996,35225,16386,31426,40840,33841,29267,27768,36004,29079,27620,28949,35805,24034,22469,33628,37352,26831,31304,23936,29636,32627,28021,35850,34490,33670,24256,22556,26096,37885,36243,29006,29090,36301,33642,16491,43256,27270,32625,35134,30982,30673
26526,37528,37297,32107,36251,31491,27693,39342,31907,40859,19008,26673,33296,32604,38494,41249,35084,30515,20266,26880,29018,38722,38264,33702,15204,37321,39741,30342,37830,32430,31430,27829,26193,28517,38936,41942,28448,23008,34495,31015,29415,18996,37304,18473,33821,43768,36139,31429,29811,38225,31878,29515,30825,38182,25782,24550,35915,39620,28383,33896,26223,32071,34844,30228,38082,37090,36460,25898,24814,28739,40202,36372,31372,31222,38658,35692,18404,46032,29294,35449,37912,33172,32673
28681,40383,40043,34753,38295,34061,30045,42482,34206,43031,21150,29114,35800,34938,40864,43885,38015,32960,21876,29085,30898,41496,40877,36148,16411,39321,42231,32784,40609,35321,34065,29923,27516,30917,41909,44983,30702,24970,37307,34014,31802,21071,39651,20600,36432,46670,38429,34139,31873,40676,34699,31410,33055,40834,27565,26846,38658,41904,30350,36523,28790,34564,37065,32526,40340,39685,39422,28093,27416,31444,42604,38962,33791,33874,41035,37839,20314,49072,31368,38411,40741,35899,35128
31387,43206,42956,37516,40619,36638,32486,45596,36480,45929,23299,31874,38326,37794,43220,46560,40912,35415,23870,31332,33001,44271,43639,38569,18155,41344,45044,35272,43386,38452,36925,32122,29364,33341,44947,48116,33120,26904,39893,36918,34208,23440,42006,22796,39023,49625,40809,36841,34010,43123,37769,33255,35276,43498,29749,29150,41389,44224,32306,39427,31367,37581,39445,35180,42611,42359,42043,30309,30043,34713,45013,41912,36389,36541,43952,40004,22744,52034,33830,41366,43982,38618,37594
34043,46037,45828,40278,42926,39292,34915,48694,38833,48813,25512,34614,40951,40610,45617,49230,43835,37877,25846,33634,35098,47061,46363,41042,19863,43392,47834,37766,46201,41548,39761,34318,31203,35782,47986,51266,35493,28882,42634,39887,36639,25812,44378,24992,41680,52561,43182,39580,36129,45618,40771,35184,37554,46155,31940,31417,44130,46543,34320,42369,33979,40403,41827,37805,44929,45007,44998,32557,32691,37825,47457,44842,38976,39246,46892,42210,25201,55056,36305,44334,47186,41349,40093
36729,48876,48794,43098,45268,42298,37400,51870,41738,51701,28037,37374,43853,43519,48209,51962,46932,40760,27881,36478,37234,50017,49180,43919,21645,45935,50615,40251,49359,44639,42665,36555,33058,38544,50996,54524,37967,31372,45356,42925,39319,28290,47191,27212,44877,55631,45564,42511,38315,48528,43800,37162,40393,48809,34163,33774,47029,48912,36560,45302,36944,43382,44248,40453,47790,47664,48196,35078,35532,41039,50143,47825,41601,42478,49854,44962,27744,58171,38790,47342,50383,44294,42888
39592,51689,51902,45926,47806,45213,40338,54900,44624,54709,28037,40370,46751,46872,50825,55163,49986,43620,30119,39251,39492,53033,52265,46857,23615,48467,53486,43034,52484,47758,45958,39154,35159,41316,54298,57907,40799,33863,48113,45945,41974,31238,49937,29704,48013,58928,48026,45463,40990,51442,46891,39651,43240,51477,36947,36108,49938,51852,38821,48238,39891,46687,46936,43094,50669,50781,51292,37579,38380,44592,52832,50862,44279,45674,52895,47711,30521,61282,41290,50361,53809,47218,45703
42439,54568,54984,48775,50350,48137,43247,58066,47521,57648,30482,43352,49682,50062,53436,58326,53059,46475,32320,41954,41741,56118,55342,49835,25609,51019,56373,45791,55579,50851,49180,41753,37259,44101,57179,61241,43600,36384,50824,48866,44698,34164,52714,32203,51085,62180,50484,48412,43668,54357,49985,42165,46065,54175,39724,38489,52879,54813,41097,51217,42873,49937,49623,45772,53877,53881,54409,40161,41271,47866,55580,53900,46969,48401,55936,50490,33317,64338,43814,53523,57156,50165,48516
45306,57845,58047,51732,52897,51133,46188,61371,50641,60666,33084,46310,52702,53239,56236,61459,56424,49723,34561,44956,44060,59455,58493,52984,27765,53696,59264,48601,58746,53981,52403,44418,39381,47186,60266,64545,46477,39474,53560,52247,47673,37092,55652,34725,54262,65480,52965,51747,46353,57374,53057,44684,49480,57209,42558,41299,55955,57743,43923,54220,46031,53146,52354,48439,56677,56963,57703,43275,44546,51168,58660,57006,49310,51593,59034,53512,36163,67627,46337,56946,60429,53157,51685
48581,61032,61345,54651,55906,54163,49302,64617,53737,63929,36181,49556,55699,56457,59314,64700,59672,52871,37132,48166,46938,62760,61937,56141,30282,56408,62246,51705,61857,57262,55755,47396,42085,50244,63513,69333,49439,42476,56276,55527,50603,40104,58586,37658,57325,68888,55560,55028,49447,60381,56143,47603,52717,60220,45700,44084,58990,61074,46753,57587,49107,56469,55576,51278,59656,60014,60870,46367,47794,54452,61748,60340,52344,54730,62399,56544,39497,70808,49446,60261,63586,56155,54759
51772,64178,64552,57596,58864,57207,52342,67874,56880,67189,39198,52763,58706,59692,62058,67915,62949,56047,39703,51292,49797,65934,65211,59291,32833,59119,65204,54810,65031,60435,59036,50353,44765,53308,66756,72537,52371,45557,59006,58784,53590,43114,61548,40607,60516,72203,58138,58255,52531,63322,59227,50537,55942,63245,48781,46931,62090,64260,49608,60903,52222,59677,58695,54134,62671,63131,64043,49460,50792,57609,64873,63515,55346,57939,65649,59528,42749,74015,52528,63615,66771,59202,57859
54937,67508,67696,60841,61813,60534,55374,71120,60282,70406,42286,56069,61880,62901,64880,71027,66254,59407,42336,54586,52699,69422,68442,62482,35476,62365,68207,57871,68469,63635,62300,53321,47475,56579,69985,75756,55339,48932,61749,62170,56873,46222,64838,43615,63717,75496,60790,61575,55617,66387,62447,53469,59337,66537,51909,50219,65279,67396,52849,64153,55355,62824,61366,56983,65691,66221,67409,52819,54288,60791,68202,66825,58356,61463,68969,62602,45988,77447,55615,67110,69966,62607,61123
58185,70706,70900,64130,65148,63790,58651,74321,63626,73817,45526,59555,65001,66297,67248,74321,69454,62647,45556,57850,55984,72778,71723,65634,38501,65545,71403,61329,71792,67058,65521,56400,50612,59814,73215,78988,58959,52290,64469,65426,60071,49581,68085,46863,66906,78772,63906,64809,58957,69467,65802,56760,62630,69791,55287,53440,68493,70772,56043,67361,58476,65972,64781,59919,68645,69668,70629,56137,57647,63993,71441,70204,61550,64846,72352,65643,49409,80777,58903,70450,73302,65878,64303
61389,73973,73994,67403,68423,66973,61836,77517,66881,77171,48726,62872,68202,69538,67248,77554,72583,65811,48610,61075,59101,76072,74955,68825,41456,68677,74524,64646,75048,70393,68863,59386,53898,63063,76375,82145,61807,55597,67182,68694,63260,52751,71323,50042,70112,81994,66993,68039,62224,72578,69105,59937,65882,72899,58510,56655,71725,74136,59229,70848,61960,69252,68042,62818,71630,73015,73883,59410,60938,67184,74629,73504,64729,68169,75687,68670,52690,84014,62166,73659,76599,69028,67530
64567,77160,77125,70771,71691,70413,65018,80851,70210,80520,51899,66198,71655,72752,70359,80783,75840,69086,51650,64387,62270,79366,78193,72249,44484,72117,77702,67751,78299,73674,72108,62488,56815,66381,79660,85381,65026,59066,69896,71848,66506,55982,74703,53288,73450,85165,70146,71257,65435,76064,72383,63068,69108,76222,61743,60081,74873,77436,62539,73910,65287,72502,71306,65804,74604,76255,77165,62812,64254,70444,77998,76795,67869,71528,78913,71968,55922,87232,65377,76863,79832,72368,70902
68022,80329,80392,74117,75091,73701,68391,84004,73440,83676,55053,69495,75029,76079,73513,83996,79082,72378,54881,67735,65628,82612,81409,75560,47748,75378,80991,71032,81522,76931,75333,65839,60229,69672,83018,88558,68424,62438,72584,75041,69694,59343,77950,56726,76718,88309,73584,74431,68874,79422,75723,66463,72271,79571,65047,63330,78052,80587,65789,77083,68642,75720,74694,69203,77565,79568,80375,66130,67519,73674,81240,80140,71169,74803,82237,75162,59211,90393,68800,80052,83136,75704,74208
71375,83536,83628,77463,78454,76802,71599,87246,76688,86786,58289,72758,78295,79318,76720,87284,82385,75655,58016,71066,68881,85848,84650,78825,50939,78618,84306,74215,84678,80294,78535,69153,63552,72915,86306,91801,71737,65713,75329,78256,72933,62653,81190,59976,79943,91500,76891,77641,72152,82648,78988,69818,75522,82840,68322,66602,81352,83898,69047,80289,71933,79034,78015,72442,80556,82845,83610,69346,70736,76862,84467,83443,74383,78033,85546,78420,62488,93561,72022,83244,86428,78998,77485
74628,86818,86870,81029,82040,79849,74729,90397,79835,90056,61478,75991,81514,82545,79955,90591,85662,78787,61148,74382,72083,89071,87924,82144,54106,81956,87583,77468,87853,83554,81724,71411,66833,76313,89553,95058,75006,68946,78075,81498,76319,65864,84523,63231,83177,94662,80186,80865,75367,85887,82244,73085,78777,86082,71664,69858,84530,87082,72388,83580,75206,82300,81320,75696,83560,86068,86817,72535,73947,80056,87737,86712,77538,81276,88833,81771,65685,96792,75287,86479,89681,82285,80809
77655,90033,90210,82774,85018,83040,77845,93586,83064,93306,64777,79252,84725,85720,83392,93801,88972,81961,64651,77690,75308,92339,91172,85427,57407,85298,90956,80651,91039,86734,84917,74377,70167,79571,92776,98178,78293,72158,80792,84677,79690,69065,87739,66469,86355,97782,83388,84036,78542,89128,85502,76340,82063,89329,74955,73095,87751,90329,75636,86911,78466,85603,84513,79134,86547,89232,89995,75769,77246,83311,90952,90018,80739,84501,92062,85043,68883,100096,78583,89680,92925,85327,84016
80891,93299,93400,86109,88119,86287,81060,96841,86296,96464,67989,82575,87993,88941,86676,97008,92170,85159,68020,80954,78478,95564,94399,88721,60691,88618,94279,83798,94191,89973,88344,77718,73391,82750,95997,101368,81540,75394,83532,87932,82962,72227,90954,69665,89554,100893,86609,87178,81776,92451,88703,79538,85345,92526,78183,76236,90946,93570,78883,90172,81658,88763,87823,82450,89492,92418,93236,78960,80552,86497,94147,93315,83913,87716,95275,88329,72006,103338,81820,92861,96235,88534,87277
84058,96552,96680,89136,91368,89554,84287,100043,89527,99669,71232,85951,91260,92146,89898,100154,95410,88377,71287,84156,81680,98816,97718,91994,64000,91793,97489,87061,97424,93190,91640,80980,76597,85908,99227,104435,84809,78648,86261,91141,86150,75494,94122,72852,92815,104013,89798,90340,84941,95755,91840,82652,88862,95724,81451,79463,94228,96813,82037,93492,84905,91979,91015,85659,92510,95702,96466,82209,83912,89672,97422,96509,87145,91005,98485,91628,75206,106635,85060,96153,99536,91753,90541
87264,99789,99866,92307,94640,92816,87529,103243,92792,102858,74565,89275,94491,95284,93138,103305,98646,91564,74499,87357,84899,102084,101046,95293,67257,94988,100756,90358,100606,96427,93553,84232,79683,89078,102461,107615,88085,81887,89012,94367,89367,78658,97322,76067,96333,107240,93004,93523,88107,98982,95003,85851,88864,98989,84674,82663,97441,100022,85306,96797,88099,95275,94198,88865,95484,98910,99654,85505,87219,92811,100710,99719,90360,94297,101755,94922,78471,109867,88276,99407,102831,94967,93878
