percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle
30.38493,38.746142,41.454188,36.67754,39.264048,34.046982,31.802812,58.667555,34.260562,48.402699,29.60035,29.292941,33.096525,31.340363,31.783588,65.236822,30.8741,31.186913,30.897869,30.922084,31.872176,39.062786,61.72615,30.03214,29.949442,36.411607,60.655124,29.134656,50.961835,38.093028,34.65435,32.745263,32.518518,43.288487,56.438294,31.948415,29.07882,33.327298,30.685397,31.439847,42.115835,29.299165,37.430635,45.193891,33.331229,32.805728,31.252988,49.707749,37.361581,30.718053,32.469106,41.981705,31.367325,30.475858,32.03947,41.048316,32.930052,32.747317,29.421964,30.822807,38.613967,32.027805,35.553673,39.750228,28.990946,31.972236,33.111371,51.665104,37.80871,32.554929,30.926091,40.763532,32.614806,29.890316,44.786938,31.096968,32.244801,33.990441,35.859661,34.737786
30.590215,43.773715,56.225819,36.577509,36.952491,38.246154,31.763157,61.622932,50.123747,38.620564,29.935777,30.811757,34.254802,32.541653,34.210395,68.042294,34.398744,34.093849,30.145801,33.807226,31.934054,35.382073,49.211894,31.989986,29.875904,40.946107,64.546278,34.778531,42.977624,38.558396,32.611708,32.387105,35.009453,41.264221,63.447584,32.70886,29.770162,33.870274,31.64772,30.939,43.096267,30.173967,49.34582,56.89451,36.063691,31.583844,33.73491,50.026115,34.739457,31.88073,36.143948,35.668552,32.834844,29.691834,32.612365,53.406799,30.718716,37.211549,30.562335,40.335772,31.348463,38.259544,36.954234,33.927522,30.977646,30.451804,36.427999,60.092361,44.771262,36.36793,32.372954,35.523368,34.546569,28.294388,54.501462,30.123233,36.406068,40.763914,34.003621,30.595609
31.547514,70.32441,67.858284,40.648207,47.516733,50.873433,38.701258,78.844471,50.320172,57.306221,30.342553,29.671162,43.034874,32.334508,46.852116,56.236768,33.47328,31.898406,31.180111,31.589327,32.916208,41.097721,73.162697,34.401289,30.688423,44.530715,74.41649,30.541158,53.953738,60.08047,35.2521,34.230453,35.385462,63.563646,60.774044,34.352141,31.09493,37.713488,33.328745,35.859121,53.831553,29.219359,43.167326,93.328411,43.322081,30.756912,38.465667,57.736772,36.77007,32.974413,43.164118,41.837039,32.76614,32.300416,34.718314,46.729972,29.703053,50.007797,30.975528,34.109367,39.998583,32.200133,40.545832,46.700367,30.141833,33.724975,42.63671,66.653775,43.578426,47.630284,36.219122,52.097715,29.446222,27.649741,86.564254,31.436375,35.5732,44.082736,46.361761,41.322105
34.0249,63.193184,73.209332,36.944833,63.798554,40.615326,43.743805,74.229504,55.746198,59.172778,34.820662,30.164857,36.0512,31.967914,50.327676,60.847236,35.835402,34.894085,33.644893,35.778582,30.387953,60.347587,69.898352,39.326151,31.434851,44.456707,88.400459,37.592537,61.023814,69.317155,38.306307,38.570817,38.366778,69.146462,61.767621,40.337379,36.43875,34.517484,34.074212,33.208138,56.877025,31.712065,50.872169,95.734809,50.720591,44.182236,35.896793,55.66921,43.926027,31.975694,42.674983,49.79462,32.525047,34.294986,45.387058,71.726187,35.380498,56.677484,35.590192,36.828665,35.518653,34.084849,37.942688,40.860311,30.907227,35.720718,52.852838,70.164074,50.740575,42.757465,38.095966,61.547487,30.997205,32.198049,83.584613,34.022769,46.565587,59.819039,40.73779,37.923891
38.105898,74.74233,66.19171,40.687899,64.865606,40.043087,55.476372,92.31028,40.203521,60.15192,32.634743,36.168944,45.290113,43.48882,39.152255,59.62949,43.693126,54.04121,37.179195,39.775967,34.406432,59.244604,84.766492,47.960913,30.62571,58.537516,100.06777,44.008148,67.369258,69.033694,41.28971,46.230303,40.556562,67.696278,70.975716,65.947301,34.794224,36.327611,39.136921,99.16688,51.018215,30.694507,51.154738,100.933813,62.376361,39.066352,38.769524,55.758305,40.830593,51.528222,46.662402,58.546603,36.076917,36.617912,34.92257,73.665004,32.14209,75.857871,34.799289,36.769148,48.36393,38.860918,46.74866,49.263415,30.225452,35.794337,67.829695,65.521029,62.624317,42.550266,33.903313,80.851629,34.639631,31.218875,87.969682,37.216737,56.877439,69.474312,39.271871,39.764798
38.279129,47.414678,72.843398,57.596425,39.604862,36.701311,43.804065,87.779518,45.849826,69.176055,30.511987,38.961342,53.110543,37.933614,40.32962,66.979335,50.736856,34.791523,31.499062,41.47281,32.117056,60.587452,80.777436,35.523531,32.481827,32.160985,67.219247,59.16544,63.990461,76.317161,52.308634,29.054744,32.890063,83.264176,88.239816,51.173094,33.290125,49.897979,44.314997,36.721227,40.805234,32.36653,54.900663,93.457858,55.918061,35.790307,39.576238,49.226928,59.672042,39.224229,32.765865,47.131254,31.217731,37.399286,41.503833,46.812321,31.385032,72.756408,36.22801,36.182493,50.258095,35.914952,53.952063,64.422915,32.370043,39.019915,68.624038,34.571333,67.410345,38.329664,39.729288,64.423687,34.194337,32.898354,89.93424,38.858608,67.5925,73.317908,39.01066,36.020962
37.569461,56.408455,72.968587,62.448051,42.464969,32.620188,43.66181,81.098609,39.400533,57.97349,30.826653,46.512121,51.857503,40.885104,46.036311,72.000581,68.158386,36.60665,33.822745,36.80831,39.086544,70.896858,64.337882,39.691641,31.228155,34.498115,64.454398,46.171877,41.747783,82.349902,68.153506,30.468275,31.065839,86.547515,83.213794,45.408381,30.145152,51.705728,43.348645,36.17341,37.726536,43.480711,54.394646,97.6263,43.857102,38.730034,34.506469,39.789068,75.354348,33.864755,31.042772,51.582632,33.470733,34.49572,38.18404,53.23625,30.789558,58.3628,42.809953,49.750782,36.941146,42.217402,69.248167,78.408483,30.306979,42.41715,78.931736,44.247279,72.721034,62.991522,47.695829,56.766948,38.19392,33.739338,92.792901,36.087732,76.186104,74.60554,48.699817,35.530276
42.153163,50.130481,66.975828,70.618322,38.737045,60.560601,53.073617,81.055404,42.295479,51.565854,31.650545,53.85366,67.713,48.044811,36.464986,78.529106,76.317606,44.090393,31.05438,40.986479,33.095299,67.984499,75.789341,41.89982,30.386256,35.455629,64.114181,55.226405,68.773049,83.554949,71.815362,30.630881,34.280115,94.293575,85.565031,37.846277,31.753659,58.37113,37.045935,34.431409,37.585415,33.568612,60.144624,98.114139,39.573111,46.218475,39.326351,48.658573,84.515797,33.696312,33.807441,63.824935,33.000895,40.481276,38.110093,42.506183,31.181518,64.926333,40.823665,47.17676,49.992122,42.373573,80.130948,85.692711,33.657104,37.700683,70.018988,49.143443,89.452817,52.597546,39.178504,48.229974,36.096199,36.496182,92.572769,36.607925,78.279721,81.06264,44.872847,36.370718
40.09072,68.11118,85.247665,81.182096,39.156123,63.216825,62.639285,94.956821,44.40929,77.624833,36.531233,48.254521,54.389441,64.042792,40.412568,77.04149,86.115632,49.895132,33.360659,50.662945,34.648683,71.226161,78.587606,50.722755,27.81996,32.267959,71.471145,61.473884,82.121789,84.525702,73.575715,28.818892,39.831884,97.974978,93.927767,43.541614,37.030471,85.881221,46.630985,50.658012,51.819236,38.437916,51.189901,92.678289,40.084097,48.058002,43.149856,56.066858,82.704492,35.939406,42.14405,60.949689,36.310888,40.743348,53.456082,40.412488,30.67181,83.79625,66.193795,86.066962,41.598915,42.795341,69.047933,87.486103,32.394626,66.103867,79.713643,46.509663,80.070514,46.623625,56.523468,61.802535,37.391605,37.170454,99.480298,36.083629,84.663138,86.347817,53.938604,47.285002
47.215017,88.461213,87.401853,74.074691,42.093872,54.741868,57.83618,98.486605,47.412705,75.471054,43.182911,65.274507,79.684054,66.367569,45.050505,79.237205,96.615311,51.224781,33.867371,45.053572,33.045346,83.332304,80.410807,49.894011,29.674278,37.613625,74.33799,50.624943,82.365356,90.407208,83.995523,30.592568,46.256852,97.588158,102.950412,44.814465,34.225694,92.907743,47.082101,53.545103,59.036575,35.575807,73.047632,98.442134,41.296133,71.63119,45.09315,51.641062,93.710813,33.554438,44.18561,73.545499,34.192715,46.129273,69.50176,54.541706,31.528545,88.068608,58.286258,87.36601,65.391109,64.309494,76.149885,87.096081,33.460974,55.804049,102.232352,56.868752,95.142855,63.725968,69.382339,76.848759,45.316032,49.368884,100.907418,55.085905,87.601529,93.400516,79.407662,49.035702
