_DATE host cpuusage memusage 
2017-03-09-15:52:00 middletier-2vpks 483.0 5.52931328E8 
2017-03-09-15:52:00 middletier-2vpks 483.0 5.52931328E8 
2017-03-09-15:51:00 middletier-2vpks 472.0 5.51161856E8 
2017-03-09-15:51:00 middletier-2vpks 472.0 5.51161856E8 
2017-03-09-15:50:00 middletier-2vpks 469.0 5.20740864E8 
2017-03-09-15:50:00 middletier-2vpks 469.0 5.20740864E8 
2017-03-09-15:49:00 middletier-2vpks 431.0 4.97537024E8 
2017-03-09-15:49:00 middletier-2vpks 431.0 4.97537024E8 
2017-03-09-15:48:00 middletier-2vpks 369.0 5.09263872E8 
2017-03-09-15:48:00 middletier-2vpks 369.0 5.09263872E8 
2017-03-09-15:47:00 middletier-2vpks 341.0 4.88218624E8 
2017-03-09-15:47:00 middletier-2vpks 341.0 4.88218624E8 
2017-03-09-15:46:00 middletier-2vpks 336.0 4.93993984E8 
2017-03-09-15:46:00 middletier-2vpks 336.0 4.93993984E8 
2017-03-09-15:45:00 middletier-2vpks 331.0 5.00723712E8 
2017-03-09-15:45:00 middletier-2vpks 331.0 5.00723712E8 
2017-03-09-15:44:00 middletier-2vpks 308.0 4.85543936E8 
2017-03-09-15:44:00 middletier-2vpks 308.0 4.85543936E8 
2017-03-09-15:43:00 middletier-2vpks 256.0 4.8406528E8 
2017-03-09-15:43:00 middletier-2vpks 256.0 4.8406528E8 
2017-03-09-15:42:00 middletier-2vpks 234.0 5.08604416E8 
2017-03-09-15:42:00 middletier-2vpks 234.0 5.08604416E8 
2017-03-09-15:41:00 middletier-2vpks 226.0 5.46902016E8 
2017-03-09-15:41:00 middletier-2vpks 226.0 5.46902016E8 
2017-03-09-15:40:00 middletier-2vpks 218.0 5.80694016E8 
2017-03-09-15:40:00 middletier-2vpks 218.0 5.80694016E8 
2017-03-09-15:39:00 middletier-2vpks 193.0 6.1939712E8 
2017-03-09-15:39:00 middletier-2vpks 193.0 6.1939712E8 
2017-03-09-15:38:00 middletier-2vpks 126.0 6.41581056E8 
2017-03-09-15:38:00 middletier-2vpks 126.0 6.41581056E8 
2017-03-09-15:37:00 middletier-2vpks 131.0 6.55818752E8 
2017-03-09-15:37:00 middletier-2vpks 131.0 6.55818752E8 
2017-03-09-15:36:00 middletier-2vpks 113.0 6.66198016E8 
2017-03-09-15:36:00 middletier-2vpks 113.0 6.66198016E8 
2017-03-09-15:35:00 middletier-2vpks 109.0 6.84855296E8 
2017-03-09-15:35:00 middletier-2vpks 109.0 6.84855296E8 
2017-03-09-15:34:00 middletier-2vpks 94.0 6.98765312E8 
2017-03-09-15:34:00 middletier-2vpks 94.0 6.98765312E8 
2017-03-09-15:33:00 middletier-2vpks 56.0 7.08222976E8 
2017-03-09-15:33:00 middletier-2vpks 56.0 7.08222976E8 
2017-03-09-15:32:00 middletier-2vpks 48.0 7.18155776E8 
2017-03-09-15:32:00 middletier-2vpks 48.0 7.18155776E8 
2017-03-09-15:31:00 middletier-2vpks 51.0 7.25159936E8 
2017-03-09-15:31:00 middletier-2vpks 51.0 7.25159936E8 
2017-03-09-15:30:00 middletier-2vpks 50.0 7.34441472E8 
2017-03-09-15:30:00 middletier-2vpks 50.0 7.34441472E8 
2017-03-09-15:29:00 middletier-2vpks 47.0 7.44947712E8 
2017-03-09-15:29:00 middletier-2vpks 47.0 7.44947712E8 
2017-03-09-15:28:00 middletier-2vpks 29.0 7.49674496E8 
2017-03-09-15:28:00 middletier-2vpks 29.0 7.49674496E8 
2017-03-09-15:27:00 middletier-2vpks 24.0 7.55453952E8 
2017-03-09-15:27:00 middletier-2vpks 24.0 7.55453952E8 
2017-03-09-15:26:00 middletier-2vpks 25.0 7.59177216E8 
2017-03-09-15:26:00 middletier-2vpks 25.0 7.59177216E8 
2017-03-09-15:25:00 middletier-2vpks 27.0 7.65558784E8 
2017-03-09-15:25:00 middletier-2vpks 27.0 7.65558784E8 
2017-03-09-15:24:00 middletier-2vpks 19.0 7.67582208E8 
2017-03-09-15:24:00 middletier-2vpks 19.0 7.67582208E8 
2017-03-09-15:23:00 middletier-2vpks 13.0 7.71211264E8 
2017-03-09-15:23:00 middletier-2vpks 13.0 7.71211264E8 
2017-03-09-15:22:00 middletier-2vpks 11.0 7.72308992E8 
2017-03-09-15:22:00 middletier-2vpks 11.0 7.72308992E8 
2017-03-09-15:21:00 middletier-2vpks 11.0 7.74934528E8 
