_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count25	status_200_count4	status_500_count25	status_500_count4	status_0_count25	status_0_count4	status_other_count25	status_other_count4	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Tue Jun 06 14:56:00 UTC 2017	110.0	1.048952832E9	2083110.5	8.0	2.7201536E7	34433.07421875	25.0	1.053868032E9	5965.55810546875	13.0	25.0	9.6442368E8	8.25708544E8	296141.03125	615263.25	0.08224999904632568	0.0637499988079071	0.07450000196695328	0.9819999933242798	0.7959246635437012	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	318.0	320.0	315.0	318.0	324.0	320.0	322.0	319.0	318.0	319.0	
Tue Jun 06 14:55:00 UTC 2017	102.0	1.049079808E9	2083110.5	9.0	2.717696E7	34433.07421875	26.0	1.05392128E9	5890.05859375	14.0	26.0	9.7441792E8	8.39385088E8	335674.0	676353.0625	0.08150000125169754	0.061000000685453415	0.07325000315904617	0.9810000061988831	0.7980265617370605	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	317.0	320.0	320.0	318.0	319.0	317.0	316.0	313.0	321.0	318.0	319.0	
Tue Jun 06 14:54:00 UTC 2017	110.0	1.048817664E9	2083110.5	8.0	2.7025408E7	29571.482421875	26.0	1.053790208E9	5890.05859375	12.0	24.0	9.79677184E8	8.57788416E8	335674.0	676353.0625	0.07150000333786011	0.06424999982118607	0.07074999809265137	0.9822499752044678	0.7974609732627869	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	323.0	322.0	320.0	318.0	322.0	320.0	324.0	316.0	322.0	320.0	
Tue Jun 06 14:53:00 UTC 2017	93.0	1.048313856E9	2390371.5	9.0	2.699264E7	35132.46875	26.0	1.053810688E9	5890.05859375	13.0	26.0	9.79677184E8	8.69388288E8	335674.0	676353.0625	0.07150000333786011	0.06700000166893005	0.07225000113248825	0.9815000295639038	0.7963738441467285	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	315.0	318.0	322.0	321.0	315.0	322.0	317.0	320.0	317.0	316.0	
Tue Jun 06 14:52:00 UTC 2017	106.0	1.048879104E9	2459302.75	8.0	2.6918912E7	35132.46875	25.0	1.053556736E9	5840.91796875	13.0	27.0	9.90195712E8	8.90925056E8	335674.0	676353.0625	0.08150000125169754	0.06199999898672104	0.07199999690055847	0.981249988079071	0.7960034608840942	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	318.0	322.0	324.0	319.0	319.0	322.0	315.0	316.0	319.0	314.0	313.0	
Tue Jun 06 14:51:00 UTC 2017	107.0	1.0488832E9	2459302.75	9.0	2.6906624E7	35132.46875	25.0	1.053515776E9	5292.8349609375	13.0	25.0	9.95581952E8	9.05146368E8	335674.0	676353.0625	0.09925000369548798	0.0637499988079071	0.0702499970793724	0.981249988079071	0.7950170636177063	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	322.0	317.0	316.0	315.0	316.0	318.0	319.0	315.0	316.0	321.0	320.0	
Tue Jun 06 14:50:00 UTC 2017	118.0	1.048948736E9	2459302.75	7.0	2.6906624E7	30360.380859375	23.0	1.053507584E9	5292.8349609375	11.0	22.0	1.006104576E9	9.19453696E8	335674.0	676353.0625	0.08874999731779099	0.0560000017285347	0.07199999690055847	0.9825000166893005	0.7947381734848022	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	319.0	319.0	320.0	324.0	324.0	318.0	318.0	323.0	319.0	319.0	318.0	
Tue Jun 06 14:49:00 UTC 2017	95.0	1.04900608E9	2459302.75	9.0	2.6882048E7	32691.533203125	26.0	1.053376512E9	5894.52490234375	14.0	25.0	1.006104576E9	9.42993408E8	335674.0	676353.0625	0.07774999737739563	0.06350000202655792	0.0729999989271164	0.9817500114440918	0.7945992350578308	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	319.0	319.0	320.0	318.0	319.0	319.0	319.0	318.0	319.0	318.0	320.0	
Tue Jun 06 14:48:00 UTC 2017	110.0	1.048813568E9	2107866.25	8.0	2.6861568E7	32988.01171875	25.0	1.053343744E9	5987.1005859375	13.0	25.0	1.011765248E9	9.47712E8	287005.03125	null	0.06599999964237213	0.06575000286102295	0.06975000351667404	0.9819999933242798	0.7943164110183716	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	319.0	317.0	322.0	320.0	320.0	321.0	320.0	320.0	318.0	321.0	
Tue Jun 06 14:47:00 UTC 2017	104.0	1.04894464E9	2107866.25	8.0	2.7025408E7	32988.01171875	27.0	1.053085696E9	5843.35107421875	13.0	26.0	1.022287872E9	9.6088064E8	301584.34375	611769.375	0.08349999785423279	0.06424999982118607	0.07474999874830246	0.9819999933242798	0.7941745519638062	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	316.0	321.0	319.0	317.0	321.0	319.0	319.0	317.0	322.0	316.0	319.0	
Tue Jun 06 14:46:00 UTC 2017	104.0	1.048940544E9	2107866.25	8.0	2.7009024E7	32988.01171875	25.0	1.053200384E9	5843.35107421875	13.0	24.0	1.022287872E9	9.76633856E8	278279.1875	611769.375	0.07625000178813934	0.057500001043081284	0.07225000113248825	0.9819999933242798	0.7938677668571472	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	320.0	320.0	323.0	320.0	321.0	320.0	321.0	322.0	320.0	322.0	319.0	
Tue Jun 06 14:45:00 UTC 2017	99.0	1.049034752E9	2107866.25	8.0	2.7066368E7	34757.56640625	29.0	1.05316352E9	5843.35107421875	13.0	25.0	1.028595712E9	9.85571328E8	267436.9375	null	0.08150000125169754	0.0637499988079071	0.07249999791383743	0.9815000295639038	0.7936074733734131	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	322.0	317.0	319.0	322.0	319.0	319.0	318.0	317.0	317.0	318.0	320.0	
