Series;Time;Value
cpu/node_utilization.distinct;2017-07-25T19:39:00+02:00;920.4999804496765
cpu/node_utilization.distinct;2017-07-25T19:40:00+02:00;922.5000143051147
cpu/node_utilization.distinct;2017-07-25T19:41:00+02:00;921.500027179718
cpu/node_utilization.distinct;2017-07-25T19:42:00+02:00;922.249972820282
cpu/node_utilization.distinct;2017-07-25T19:43:00+02:00;921.750009059906
cpu/node_utilization.distinct;2017-07-25T19:44:00+02:00;924.7499704360962
cpu/node_utilization.distinct;2017-07-25T19:45:00+02:00;920.7500219345093
cpu/node_utilization.distinct;2017-07-25T19:46:00+02:00;919.4999933242798
cpu/node_utilization.distinct;2017-07-25T19:47:00+02:00;922.249972820282
cpu/node_utilization.distinct;2017-07-25T19:48:00+02:00;922.249972820282
cpu/usage_rate.count;2017-07-25T19:10:14+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:16+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:18+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:20+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:22+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:24+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:26+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:28+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:30+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:32+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:34+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:36+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:38+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:40+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:42+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:44+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:46+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:48+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:50+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:52+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:54+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:56+02:00;null
cpu/usage_rate.count;2017-07-25T19:10:58+02:00;null
cpu/usage_rate.count;2017-07-25T19:11:00+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:02+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:04+02:00;3
cpu/usage_rate.count;2017-07-25T19:11:06+02:00;3
