_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge1	memusage_edge1	cpuusage_edge2	memusage_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count1	status_500_count1	status_0_count1	status_other_count1	status_200_count2	status_500_count2	status_0_count2	status_other_count2	responseTimePercentile_middle	responseTimePercentile_edge1	responseTimePercentile_edge2	
2017-04-20-20:01:00	402.0	1.067106304E9	21.0	1069056.0	91.0	4.43838464E8	84.0	0.0	0.0	0.06750000268220901	0.13300000131130219	0.9564999938011169	500.0	16425.0	8986.0	1.0	0.0	16549.0	9158.0	0.0	0.0	null	null	null	
2017-04-20-20:01:00	402.0	1.067106304E9	21.0	1069056.0	91.0	4.43838464E8	84.0	0.0	0.0	0.06750000268220901	0.13300000131130219	0.9564999938011169	500.0	16425.0	8986.0	1.0	0.0	16549.0	9158.0	0.0	0.0	null	null	null	
2017-04-20-20:00:00	400.0	1.06672128E9	21.0	1069056.0	91.0	4.43838464E8	84.0	0.0	0.0	0.07249999791383743	0.19449999928474426	0.9592499732971191	500.0	15673.0	7820.0	1.0	0.0	15750.0	8031.0	0.0	0.0	null	null	null	
2017-04-20-20:00:00	400.0	1.06672128E9	21.0	1069056.0	91.0	4.43838464E8	84.0	0.0	0.0	0.07249999791383743	0.19449999928474426	0.9592499732971191	500.0	15673.0	7820.0	1.0	0.0	15750.0	8031.0	0.0	0.0	null	null	null	
2017-04-20-19:59:00	413.0	1.067778048E9	21.0	1069056.0	83.0	4.271104E8	84.0	0.0	0.0	0.06300000101327896	0.16599999368190765	0.9577500224113464	500.0	14918.0	6644.0	0.0	0.0	15012.0	6827.0	0.0	0.0	null	null	null	
2017-04-20-19:59:00	413.0	1.067778048E9	21.0	1069056.0	83.0	4.271104E8	84.0	0.0	0.0	0.06300000101327896	0.16599999368190765	0.9577500224113464	500.0	14918.0	6644.0	0.0	0.0	15012.0	6827.0	0.0	0.0	null	null	null	
2017-04-20-19:58:00	413.0	1.06743808E9	21.0	3.0814208E7	0.0	4.23571456E8	84.0	0.0	0.0	0.06975000351667404	0.12300000339746475	0.9574999809265137	400.0	14262.0	5650.0	0.0	0.0	14377.0	5794.0	0.0	0.0	null	null	null	
2017-04-20-19:58:00	413.0	1.06743808E9	21.0	3.0814208E7	0.0	4.23571456E8	84.0	0.0	0.0	0.06975000351667404	0.12300000339746475	0.9574999809265137	400.0	14262.0	5650.0	0.0	0.0	14377.0	5794.0	0.0	0.0	null	null	null	
2017-04-20-19:57:00	403.0	1.068580864E9	21.0	2.9974528E7	0.0	0.0	84.0	0.0	0.0	0.06624999642372131	0.12125000357627869	0.9582499861717224	400.0	13614.0	4764.0	0.0	0.0	13703.0	4931.0	0.0	0.0	null	null	null	
2017-04-20-19:57:00	403.0	1.068580864E9	21.0	2.9974528E7	0.0	0.0	84.0	0.0	0.0	0.06624999642372131	0.12125000357627869	0.9582499861717224	400.0	13614.0	4764.0	0.0	0.0	13703.0	4931.0	0.0	0.0	null	null	null	
2017-04-20-19:56:00	394.0	1.067196416E9	21.0	2.9974528E7	0.0	4.17017856E8	84.0	4.01395712E8	0.0	0.06599999964237213	0.12325000017881393	0.9555000066757202	400.0	12910.0	3939.0	0.0	0.0	13010.0	4081.0	0.0	0.0	null	null	null	
2017-04-20-19:56:00	394.0	1.067196416E9	21.0	2.9974528E7	0.0	4.17017856E8	84.0	4.01395712E8	0.0	0.06599999964237213	0.12325000017881393	0.9555000066757202	400.0	12910.0	3939.0	0.0	0.0	13010.0	4081.0	0.0	0.0	null	null	null	
2017-04-20-19:55:00	424.0	1.06831872E9	21.0	2.9974528E7	0.0	1044480.0	84.0	1052672.0	0.0	0.06549999862909317	0.11900000274181366	0.9577500224113464	350.0	12219.0	3231.0	0.0	0.0	12302.0	3367.0	0.0	0.0	null	null	null	
2017-04-20-19:55:00	424.0	1.06831872E9	21.0	2.9974528E7	0.0	1044480.0	84.0	1052672.0	0.0	0.06549999862909317	0.11900000274181366	0.9577500224113464	350.0	12219.0	3231.0	0.0	0.0	12302.0	3367.0	0.0	0.0	null	null	null	
2017-04-20-19:54:00	406.0	1.067577344E9	21.0	2.9974528E7	0.0	1044480.0	84.0	1052672.0	0.0	0.06599999964237213	0.12475000321865082	0.9572499990463257	350.0	11422.0	2705.0	0.0	0.0	11539.0	2807.0	0.0	0.0	null	null	null	
2017-04-20-19:54:00	406.0	1.067577344E9	21.0	2.9974528E7	0.0	1044480.0	84.0	1052672.0	0.0	0.06599999964237213	0.12475000321865082	0.9572499990463257	350.0	11422.0	2705.0	0.0	0.0	11539.0	2807.0	0.0	0.0	null	null	null	
2017-04-20-19:53:00	410.0	1.067319296E9	0.0	2.9118464E7	0.0	0.0	84.0	1052672.0	0.0	0.06624999642372131	0.11675000190734863	0.9572499990463257	350.0	10657.0	2132.0	0.0	0.0	10794.0	2217.0	0.0	0.0	null	null	null	
2017-04-20-19:53:00	410.0	1.067319296E9	0.0	2.9118464E7	0.0	0.0	84.0	1052672.0	0.0	0.06624999642372131	0.11675000190734863	0.9572499990463257	350.0	10657.0	2132.0	0.0	0.0	10794.0	2217.0	0.0	0.0	null	null	null	
2017-04-20-19:52:00	404.0	1.06717184E9	0.0	1069056.0	0.0	0.0	84.0	0.0	0.0	0.0625	0.11924999952316284	0.9577500224113464	300.0	9897.0	1703.0	0.0	0.0	10034.0	1773.0	0.0	0.0	null	null	null	
