Time;middletier-jwnhp;Limit;cpu/node_reservation.distinct;cpu/node_utilization.distinct;cpu/usage_rate.count;cfp.distinct {hostname: middletier-jwnhp};cfp.distinct {hostname: middletier-ppdbq};fpm.distinct {hostname: 10.0.11.64};fpm.distinct {hostname: middletier-jwnhp};fpm.distinct {hostname: middletier-ppdbq};test_results.fail_count_elapsed;test_results.fail_count_elapsed
2017-07-27T09:46:34+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:35+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:35+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:36+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:36+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:37+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:37+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:38+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:38+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:39+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:39+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:40+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:40+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:41+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:41+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:42+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:42+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:43+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:43+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:44+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:44+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:45+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:45+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:46+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:46+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
