_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,network_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 18:23:00 UTC 2017,182,1139691520,248172.578125,9,24670208,22679.4375,32,844169216,6303.3740234375,20,26,1126494208,1134616576,368372.1875,,0.064750000834465,0.072499997913838,0.069499999284744,0.11174999922514,0.923695743083954,100,1177,1248,0,0,0,0,0,0,61747094,38460508,7008617,21711077,24912320,12444874,31693110,5851965,5851965,1419299,1509710
Sun Apr 30 18:22:00 UTC 2017,127,1139404800,248172.578125,9,25792512,22679.4375,30,843759616,6303.3740234375,17,25,1126027264,1134698496,206673.84375,,0.070749998092651,0.064000003039837,0.067749999463558,0.113750003278255,0.923470675945282,100,898,965,0,0,0,0,0,0,81379815,60215668,36574222,33723065,31560619,28812552,58956928,5882065,5882065,1830263,1982920
Sun Apr 30 18:21:00 UTC 2017,109,1139437568,248172.578125,6,25792512,17453.6640625,28,844148736,6303.3740234375,13,21,1125113856,1134653440,206673.84375,,0.071000002324581,0.070749998092651,0.068499997258186,0.107500001788139,0.923352241516113,50,702,767,0,0,0,0,0,0,86566479,75515317,27034665,37881875,27479538,54399384,67832604,6278951,6278951,1440052,2110840
Sun Apr 30 18:20:00 UTC 2017,87,1139355648,248172.578125,4,25792512,7562.7265625,19,844103680,3257.61596679687,5,16,1124888576,1134743552,41884.25,,0.072999998927116,0.061500001698732,0.062249999493361,0.082750000059605,0.923108637332916,50,500,566,0,0,0,0,0,0,81068298,81059408,41744890,27967156,42018280,4600297,74020704,7008959,7008959,1431816,1530894
Sun Apr 30 18:19:00 UTC 2017,50,1139470336,248172.578125,3,24670208,7562.7265625,18,843751424,2858.70336914062,4,12,1125969920,1134829568,41884.25,,0.066249996423721,0.070000000298023,0.054999999701977,0.08049999922514,0.922926604747772,50,381,431,0,0,0,0,0,0,88984839,53514920,6983835,4747962,34357486,5582738,75773990,8186779,8186779,1797957,1914613
Sun Apr 30 18:18:00 UTC 2017,44,1139421184,248172.578125,3,25792512,7562.7265625,15,843431936,2858.70336914062,3,12,1125060608,1134915584,41884.25,,0.071999996900559,0.056249998509884,0.058499999344349,0.083750002086163,0.922742664813995,20,299,350,0,0,0,0,0,0,99012047,72334828,43055423,4249133,4019996,6006348,92083140,13136667,13136667,1720279,1845406
Sun Apr 30 18:17:00 UTC 2017,38,1139437568,248172.578125,1,25792512,4785.3662109375,9,843354112,1711.19384765625,2,6,1126141952,1135001600,41884.25,,0.062749996781349,0.063249997794628,0.048500001430512,0.067749999463558,0.922617852687836,20,219,269,0,0,0,0,0,0,89729349,78888602,4315957,3162741,29601655,3837343,83432671,16072025,16072025,1370882,2168502
Sun Apr 30 18:16:00 UTC 2017,22,1139339264,248172.578125,1,25792512,4115.38330078125,9,843345920,1659.94860839844,2,5,1126293504,1135149056,16841.8671875,,0.071000002324581,0.063500002026558,0.061000000685454,0.068750001490116,0.922468185424805,20,165,214,0,0,0,0,0,0,100193776,81854911,4114528,3775598,49197750,24333810,88068310,12273250,12273250,1396642,1292862
Sun Apr 30 18:15:00 UTC 2017,22,1139372032,248172.578125,1,25792512,2265.1005859375,9,843210752,1050.90979003906,2,5,1125384192,1135239168,16841.8671875,,0.086000002920628,0.057000000029802,0.050749998539686,0.065499998629093,0.922271490097046,10,124,172,0,0,0,0,0,0,89985281,89013418,3404857,2772032,3899896,2807362,85411743,32391847,32391847,1344506,2008757
Sun Apr 30 18:14:00 UTC 2017,18,1139339264,248172.578125,1,24670208,2265.1005859375,8,843476992,1050.90979003906,1,4,1126465536,1135382528,16841.8671875,,0.065499998629093,0.05824999883771,0.050749998539686,0.06700000166893,0.924130201339722,10,84,131,0,0,0,0,0,0,98862883,96511702,3371359,3385493,3041901,2792287,93727815,28067227,28067227,1639374,1314651
Sun Apr 30 18:13:00 UTC 2017,14,1139531776,202832.890625,0,24670208,2262.54223632812,6,843472896,988.376708984375,1,4,1126551552,1134514176,11522.091796875,,0.070749998092651,0.064249999821186,0.046250000596047,0.064000003039837,0.922133982181549,10,61,101,0,0,0,0,0,0,90126650,54202028,4069508,3962825,6038173,3820789,83051476,33877987,33877987,1640250,2326828
Sun Apr 30 18:12:00 UTC 2017,12,1139421184,202832.890625,0,24670208,1672.931640625,6,843104256,988.376708984375,1,4,1125642240,1134604288,11522.091796875,,0.067500002682209,0.064249999821186,0.050999999046326,0.068000003695488,0.922088503837585,5,45,77,0,0,0,0,0,0,96932117,100535950,3531915,3240100,3637051,2592390,95154547,40643018,40643018,1326713,1518871
Sun Apr 30 18:11:00 UTC 2017,11,1139421184,124009.3125,0,25792512,1672.931640625,5,843100160,802.427490234375,1,2,1125728256,1134690304,9841.287109375,,0.059999998658896,0.055250000208616,0.055500000715256,0.064000003039837,0.922232806682587,5,28,54,0,0,0,0,0,0,80587445,89718604,3944826,2460927,3726853,3583552,78975534,33013377,33013377,2503849,1381287
Sun Apr 30 18:10:00 UTC 2017,9,1139355648,124009.3125,0,25788416,1360.71716308594,6,843337728,802.427490234375,1,2,1126813696,1134776320,9841.287109375,,0.064499996602535,0.062249999493361,0.043499998748303,0.061000000685454,0.922213733196258,5,28,54,0,0,0,0,0,0,100831499,39968532,5481607,3347579,3991140,4597404,75869699,33350390,33350390,1459887,1352730
Sun Apr 30 18:09:00 UTC 2017,8,1139355648,25465.990234375,0,25788416,897.850708007812,5,842883072,802.427490234375,1,1,1126899712,1134927872,null,,0.068499997258186,0.061000000685454,0.058749999850988,0.064249999821186,0.922191739082336,3,18,36,0,0,0,0,0,0,99963370,62390367,4942713,5105948,3708432,3365541,97143594,32190614,32190614,1569239,1254786
Sun Apr 30 18:08:00 UTC 2017,6,1139339264,25465.990234375,0,25784320,57.5280990600586,3,842878976,505.060607910156,0,0,1125158912,1135017984,null,,0.066749997437,0.062249999493361,0.057750001549721,0.063249997794628,0.922070384025574,3,10,19,0,0,0,0,0,0,87765965,85727100,5194410,4318685,3158038,3505282,84551544,53491188,53491188,1886550,1346294
Sun Apr 30 18:07:00 UTC 2017,2,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,3,null,null,null,null,null,null,null,null,110693404,1797059,4724151,null,null,3127908,95629148,64414490,64414490,1359021,1190395
