sep=;
Time;95th;50th;25th
2017-04-30T17:01:00.000Z;36594237;14951296;10579264
2017-04-30T17:02:00.000Z;39217465;16151267;11955479
2017-04-30T17:03:00.000Z;39362169;16105882;11788848
2017-04-30T17:04:00.000Z;36402413;15618286;10650662
2017-04-30T17:05:00.000Z;40182568;17132962;12618317
2017-04-30T17:06:00.000Z;41534007;17026124;12829245
2017-04-30T17:07:00.000Z;48996584;17237381;12088600
2017-04-30T17:08:00.000Z;56834616;18460919;13273689
2017-04-30T17:09:00.000Z;48196404;17582649;12870382
2017-04-30T17:10:00.000Z;71451943;18628300;12453257
2017-04-30T17:11:00.000Z;88331090;20661068;14081440
2017-04-30T17:12:00.000Z;91009523;21465423;15152246
2017-04-30T17:13:00.000Z;118415169;23817417;15039083
2017-04-30T17:14:00.000Z;136755942;27684945;16722318
2017-04-30T17:15:00.000Z;99588827;23249796;15194595
2017-04-30T17:16:00.000Z;164671306;33684406;17395605
2017-04-30T17:17:00.000Z;198766834;63767372;25537035
2017-04-30T17:18:00.000Z;205584400;71821778;28354060
2017-04-30T17:19:00.000Z;209338197;79447417;33125332
2017-04-30T17:20:00.000Z;207884905;76654775;30176144
2017-04-30T17:21:00.000Z;212640874;74175623;29417180
2017-04-30T17:22:00.000Z;null;null;null
2017-04-30T17:23:00.000Z;75337035;10343202;5209714
2017-04-30T17:24:00.000Z;88206629;16008893;9630985
2017-04-30T17:25:00.000Z;92168892;20212495;10941562
2017-04-30T17:26:00.000Z;88422098;13259853;9425460
2017-04-30T17:27:00.000Z;75469656;15153086;13086223
2017-04-30T17:28:00.000Z;97630233;18347901;10458107
2017-04-30T17:29:00.000Z;93081225;13321408;6857931
2017-04-30T17:30:00.000Z;98010403;17528457;12493263
2017-04-30T17:31:00.000Z;87878833;19219396;13400472
2017-04-30T17:32:00.000Z;94129833;14825163;7698048
2017-04-30T17:33:00.000Z;88131000;15052423;11442963
2017-04-30T17:34:00.000Z;92279174;18353305;13461516
2017-04-30T17:35:00.000Z;87864367;13551099;6783032
2017-04-30T17:36:00.000Z;87198834;15059815;11344865
2017-04-30T17:37:00.000Z;77184526;16685871;12309270
2017-04-30T17:38:00.000Z;64998048;11999317;6774381
2017-04-30T17:39:00.000Z;48226096;14365845;10285431
2017-04-30T17:40:00.000Z;45711226;16587744;12558232
2017-04-30T17:41:00.000Z;35650968;14887473;9141549
2017-04-30T17:42:00.000Z;35996749;16304373;11825122
2017-04-30T17:43:00.000Z;35913008;16446347;11919157
2017-04-30T17:44:00.000Z;37475972;15329025;10252363
2017-04-30T17:45:00.000Z;36458162;16479174;11802442
2017-04-30T17:46:00.000Z;38638946;17462354;12821391
2017-04-30T17:47:00.000Z;37557198;15621105;10922062
2017-04-30T17:48:00.000Z;39739007;16003201;11310665
2017-04-30T17:49:00.000Z;45429217;17916157;12649259
