_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count3	status_500_count1	status_500_count3	status_0_count1	status_0_count3	status_other_count1	status_other_count3	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Fri Jun 02 16:58:00 UTC 2017	1.0	1.082679296E9	2854.1962890625	0.0	2.6406912E7	0.0	3.0	5.5621632E8	56.40457534790039	1.0	0.0	5.52034304E8	4.8422912E8	0.0	0.0	0.07199999690055847	0.048250000923871994	0.04774999991059303	0.9912499785423279	0.6435731053352356	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	331.0	331.0	333.0	335.0	335.0	335.0	336.0	333.0	333.0	334.0	
Fri Jun 02 16:57:00 UTC 2017	1.0	1.081667584E9	2854.1962890625	0.0	2.6406912E7	0.0	14.0	5.55311104E8	56.40457534790039	0.0	1.0	5.53127936E8	4.84315136E8	0.0	0.0	0.07150000333786011	0.05324999988079071	0.04874999821186066	0.9879999756813049	0.6435109376907349	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	330.0	333.0	333.0	335.0	329.0	331.0	335.0	330.0	337.0	331.0	333.0	
Fri Jun 02 16:56:00 UTC 2017	1.0	1.082679296E9	2854.1962890625	0.0	2.5399296E7	0.0	3.0	5.54057728E8	56.40457534790039	1.0	0.0	5.53213952E8	4.84409344E8	0.0	0.0	0.08174999803304672	0.045499999076128006	0.051500000059604645	0.9892500042915344	0.6434933543205261	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	338.0	335.0	330.0	334.0	337.0	335.0	329.0	332.0	332.0	333.0	330.0	
Fri Jun 02 16:55:00 UTC 2017	1.0	1.081667584E9	2854.1962890625	0.0	2.5399296E7	0.0	2.0	5.5392256E8	56.40457534790039	0.0	0.0	5.53304064E8	4.84499456E8	0.0	null	0.0625	0.054999999701976776	0.04075000062584877	0.9912499785423279	0.6446005702018738	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	335.0	336.0	334.0	335.0	336.0	334.0	333.0	331.0	331.0	334.0	
Fri Jun 02 16:54:00 UTC 2017	0.0	1.082679296E9	2854.1962890625	0.0	2.6406912E7	0.0	3.0	5.53832448E8	56.40457534790039	1.0	1.0	5.53394176E8	4.84589568E8	0.0	null	0.07824999839067459	0.04475000128149986	0.0494999997317791	0.9907500147819519	0.6434644460678101	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	333.0	330.0	334.0	330.0	334.0	333.0	332.0	333.0	334.0	335.0	
Fri Jun 02 16:53:00 UTC 2017	1.0	1.082679296E9	2373.21630859375	0.0	2.6406912E7	0.0	8.0	5.53828352E8	56.40457534790039	0.0	1.0	5.52480768E8	4.84683776E8	0.0	null	0.07124999910593033	0.050999999046325684	0.052000001072883606	0.9915000200271606	0.6434488296508789	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	331.0	334.0	333.0	334.0	332.0	338.0	334.0	334.0	335.0	331.0	
Fri Jun 02 16:52:00 UTC 2017	1.0	1.082679296E9	3421.8974609375	0.0	2.6406912E7	0.0	2.0	5.52009728E8	55.00304412841797	0.0	0.0	5.5257088E8	4.84769792E8	0.0	null	0.0767500028014183	0.05249999836087227	0.04874999821186066	0.9865000247955322	0.6457317471504211	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	332.0	334.0	334.0	335.0	330.0	331.0	338.0	333.0	336.0	333.0	
Fri Jun 02 16:51:00 UTC 2017	1.0	1.082679296E9	2675.615478515625	0.0	2.5399296E7	0.0	3.0	5.52009728E8	55.00304412841797	0.0	0.0	5.5267328E8	4.84859904E8	0.0	null	0.0989999994635582	0.051249999552965164	0.04475000128149986	0.9869999885559082	0.6434223651885986	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	331.0	331.0	329.0	332.0	332.0	332.0	330.0	332.0	332.0	332.0	
Fri Jun 02 16:50:00 UTC 2017	0.0	1.081667584E9	2675.615478515625	0.0	2.5399296E7	0.0	2.0	5.51882752E8	55.00304412841797	0.0	0.0	5.52763392E8	4.84950016E8	0.0	null	0.06724999845027924	0.045499999076128006	0.04650000110268593	0.9907500147819519	0.6434170007705688	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	331.0	334.0	333.0	333.0	332.0	336.0	334.0	333.0	334.0	333.0	
Fri Jun 02 16:49:00 UTC 2017	1.0	1.082679296E9	2675.615478515625	0.0	2.6406912E7	0.0	2.0	5.5179264E8	43.109840393066406	0.0	0.0	5.52853504E8	4.85040128E8	0.0	null	0.07649999856948853	0.057500001043081284	0.04874999821186066	0.9915000200271606	0.6456921100616455	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	335.0	331.0	332.0	336.0	333.0	331.0	336.0	335.0	334.0	334.0	
Fri Jun 02 16:48:00 UTC 2017	1.0	1.081667584E9	2675.615478515625	0.0	2.5399296E7	0.0	2.0	5.5179264E8	45.02268600463867	2.0	0.0	5.52947712E8	4.8513024E8	0.0	null	0.08174999803304672	0.045249998569488525	0.052000001072883606	0.9909999966621399	0.6442967057228088	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	336.0	334.0	334.0	334.0	331.0	335.0	337.0	333.0	334.0	333.0	333.0	
