_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 21:20:00 UTC 2017,275,1223008256,2219661.5,17,26333184,24634.978515625,52,877793280,11594.5576171875,40,38,1128325120,1139122176,780506.3125,,0.08049999922514,0.074000000953674,0.089749999344349,0.158250004053116,0.927427887916565,150,2468,2449,0,0,0,0,0,0,40403858,35177576,15977457,8009135,4230550,6608809,27889559,5925492,5925492,2090385,1535587
Sun Apr 30 21:19:00 UTC 2017,209,1223008256,2219661.5,16,25690112,24634.978515625,53,877621248,11720.197265625,38,39,1127415808,1140297728,780506.3125,,0.067249998450279,0.080750003457069,0.086499996483326,0.151250004768372,0.925164520740509,150,2005,1971,0,0,0,0,0,0,55503397,46333473,14039293,11443684,18548130,20842708,36326563,6650623,6650623,1677304,1897970
Sun Apr 30 21:18:00 UTC 2017,200,1222909952,2219661.5,14,24997888,24634.978515625,48,877531136,11433.9638671875,36,35,1127559168,1139429376,652249.3125,,0.078249998390675,0.073749996721745,0.083999998867512,0.139750003814697,0.924763798713684,100,1607,1575,0,0,0,0,0,0,67039675,41274396,11389166,19565884,26884007,8446094,34652992,5827810,5827810,1447372,1369184
Sun Apr 30 21:17:00 UTC 2017,179,1222909952,2219661.5,9,24940544,24634.978515625,31,877457408,6290.373046875,20,24,1127649280,1139642368,397271.46875,,0.065750002861023,0.068499997258186,0.068999998271465,0.118249997496605,0.924513816833496,100,1209,1179,0,0,0,0,0,0,60047292,38541121,3589880,32982731,7899401,6250541,29220471,5795475,5795475,1603934,1543849
Sun Apr 30 21:16:00 UTC 2017,121,1222430720,1983174.875,8,24305664,9394.4443359375,29,877416448,6290.373046875,19,22,1127739392,1139572736,364030.8125,,0.071000002324581,0.070249997079372,0.064249999821186,0.109250001609325,0.925416529178619,100,940,900,0,0,0,0,0,0,79769562,82870971,48461957,22046780,23628692,15549154,70588142,6750748,6750748,3016457,1385381
Sun Apr 30 21:15:00 UTC 2017,108,1222352896,1614072.875,7,24305664,9394.4443359375,30,877252608,6290.373046875,20,20,1127817216,1139658752,306893.90625,,0.090499997138977,0.070000000298023,0.07124999910593,0.103500001132488,0.924238801002502,50,738,696,0,0,0,0,0,0,84906081,85784722,32998929,12218716,23333854,41318992,71758020,6111034,6111034,1301535,1856897
Sun Apr 30 21:14:00 UTC 2017,92,1222606848,768492.1875,3,24305664,9394.4443359375,15,877195264,3144.36767578125,12,7,1127903232,1139621888,213554.59375,,0.072499997913838,0.060750000178814,0.056499999016523,0.093500003218651,0.924114525318146,50,535,502,0,0,0,0,0,0,62269664,66805276,34321225,25373751,13194373,6796309,48998886,6813711,6813711,2400747,2101975
Sun Apr 30 21:13:00 UTC 2017,45,1222287360,729197,3,24305664,7838.1484375,14,877047808,1564.82653808594,11,6,1128050688,1139712000,185266.296875,,0.063749998807907,0.067500002682209,0.061250001192093,0.075000002980232,0.923923254013062,50,414,375,0,0,0,0,0,0,73756974,90782478,5624851,42525971,3404238,5053265,78943419,9671242,9671242,2120262,1508582
Sun Apr 30 21:12:00 UTC 2017,43,1222414336,644433.125,3,24301568,7838.1484375,14,877031424,1564.82653808594,12,5,1128194048,1139802112,126304.1171875,,0.067749999463558,0.05799999833107,0.054249998182058,0.084499999880791,0.925590693950653,20,336,294,0,0,0,0,0,0,94952853,81417318,14586347,7123165,5144412,24767358,83019928,28743686,28743686,2234123,3096670
Sun Apr 30 21:11:00 UTC 2017,41,1222410240,425993,2,24297472,79.2255249023438,9,877015040,1564.82653808594,7,4,1129332736,1139888128,126304.1171875,,0.065250001847744,0.063749998807907,0.056000001728535,0.081000000238419,0.923280358314514,20,260,218,0,0,0,0,0,0,90504385,84328978,4204711,9429293,6988634,12357883,73577374,12353028,12353028,2233661,1664522
Sun Apr 30 21:10:00 UTC 2017,28,1222287360,425993,1,24297472,79.2255249023438,19,876949504,1564.82653808594,7,2,1129422848,1139720192,124412.0078125,,0.07575000077486,0.060750000178814,0.05350000038743,0.062749996781349,0.92309296131134,20,207,163,0,0,0,0,0,0,109216183,99742283,8904033,18610039,9260716,7619953,98018009,19703353,19703353,3557057,2175580
Sun Apr 30 21:09:00 UTC 2017,22,1222287360,383340.125,1,24297472,79.2255249023438,9,876851200,1703.8984375,6,2,1129123840,1139871744,22939.2734375,,0.059999998658896,0.065250001847744,0.058749999850988,0.069250002503395,0.922976016998291,10,168,123,0,0,0,0,0,0,101107934,95107744,3761936,5368399,4048412,2929890,91938243,35919951,35919951,2126568,1408186
Sun Apr 30 21:08:00 UTC 2017,20,1222287360,261684.25,1,24293376,79.2255249023438,10,876781568,1063.92565917969,3,1,1128218624,1139961856,22939.2734375,,0.075499996542931,0.0625,0.052250001579523,0.067500002682209,0.922870337963104,10,125,81,0,0,0,0,0,0,81392486,79845480,3993176,4844980,4672614,3445948,76819421,27990329,27990329,1292933,2459549
Sun Apr 30 21:07:00 UTC 2017,14,1222352896,150198.34375,0,24293376,79.2255249023438,8,876777472,979.727416992188,3,1,1129304064,1140051968,22939.2734375,,0.063749998807907,0.056749999523163,0.046500001102686,0.069750003516674,0.922809183597565,10,96,59,0,0,0,0,0,0,87749296,80431195,4115916,3402440,3402752,2678052,83664126,24883396,24883396,1311485,1220671
Sun Apr 30 21:06:00 UTC 2017,11,1222565888,150198.34375,0,24461312,79.2255249023438,6,876769280,987.168029785156,3,1,1128472576,1140219904,22939.2734375,,0.063000001013279,0.064000003039837,0.052749998867512,0.065499998629093,0.918277084827423,5,73,42,0,0,0,0,0,0,102870134,89722009,4415314,3334911,2582926,4383946,92030766,33827375,33827375,1370456,1519730
Sun Apr 30 21:05:00 UTC 2017,10,1222500352,150198.34375,0,24444928,79.2255249023438,7,876642304,812.964477539063,2,2,1129742336,1140367360,22939.2734375,,0.094250001013279,0.05350000038743,0.054999999701977,0.057750001549721,0.918159663677216,5,49,27,0,0,0,0,0,0,77017828,97228210,4555135,84740093,3089168,3240423,93252564,51805704,51805704,1437310,1380096
Sun Apr 30 21:04:00 UTC 2017,8,1222500352,125074.4296875,0,24444928,79.2255249023438,5,876548096,422.364654541016,1,1,1128710144,1140457472,22939.2734375,,0.061999998986721,0.069250002503395,0.049499999731779,0.063249997794628,0.92003208398819,5,49,27,0,0,0,0,0,0,82418367,94625905,4958540,4841706,4012349,2984130,92994328,48578257,48578257,1469419,1450309
Sun Apr 30 21:03:00 UTC 2017,7,1222500352,20741.30859375,0,24432640,79.2255249023438,5,876548096,422.364654541016,1,1,1128857600,1140547584,19141.23828125,,0.065750002861023,0.056499999016523,0.055250000208616,0.063749998807907,0.918115139007568,3,32,18,0,0,0,0,0,0,83597739,80317609,34898269,30350911,3311913,3788270,80776374,31273099,31273099,1645621,1355455
Sun Apr 30 21:02:00 UTC 2017,6,1222627328,20741.30859375,0,24424448,79.2255249023438,3,876544000,422.364654541016,0,0,1128943616,1140690944,28.9602699279785,,0.068499997258186,0.05824999883771,0.064750000834465,0.063249997794628,0.91808819770813,3,17,10,0,0,0,0,0,0,90560885,82521989,5371586,4339173,4923083,8926114,81393671,30020444,30020444,2772840,1376344
Sun Apr 30 21:01:00 UTC 2017,2,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,3,null,null,null,null,null,null,null,null,65350692,95319245,3994824,4359320,null,null,93900478,93077293,93077293,1945199,null
